"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.390933062520636,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.736960166620861,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.300415787705631,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.389210066435725,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789,0.210139689701789
"2",2,0.388267572008779,0.382961076577057,0.384177068800021,0.380679548503025,0.386993631155501,0.378322220864809,0.379442836242966,0.3764274706148,0.381618923748259,0.380577682740644,0.377493880930326,0.382842257575248,0.374758604289775,0.37929371969736,0.385736189358412,0.731935366929888,0.721931926104701,0.724224231149118,0.717630946037302,0.729533821106562,0.713187073836168,0.715299581001665,0.709615220765086,0.719401791748799,0.717438915696524,0.711625544268421,0.721707936681023,0.706469188559398,0.715018476728756,0.72716337817108,0.298367469186398,0.294289648306275,0.295224087719382,0.292536388939791,0.297388498662748,0.290724880763049,0.291586027040556,0.289268844056427,0.293258259718457,0.292458109341108,0.290088335999346,0.294198340848695,0.287986389744748,0.291471437181568,0.296422206977081,0.386556323791102,0.381273216176196,0.382483849042175,0.379001743695605,0.385287997697263,0.376654805729384,0.377770482113902,0.374768406390504,0.379936978743897,0.378900326895788,0.375830116615465,0.381154920856559,0.373106895417124,0.377622022783683,0.38403609794177,0.208706898764503,0.205854478720427,0.206508115501021,0.204628080527264,0.208022112643114,0.203360937515041,0.203963306028777,0.202342445430917,0.205133026364473,0.204573324248632,0.20291567689759,0.205790609504532,0.201445373565383,0.203883150862517,0.207346195320199
"3",3,0.385620255553684,0.37515165698045,0.377537830236565,0.370694966841842,0.383093897429088,0.366118183704471,0.368290328394791,0.362460109461773,0.372526698109838,0.37049660539416,0.3645167006879,0.374918901052468,0.35925334783319,0.368000917789514,0.380608400889334,0.726944827722831,0.707210144503474,0.711708394482829,0.698808698266236,0.722182310855002,0.690180860953738,0.694275638976813,0.683284910567685,0.702261752279532,0.698434760885263,0.687161855134372,0.706771369009885,0.677239743733045,0.693730061975698,0.717496823441217,0.296333116673374,0.28828843437847,0.290122109211997,0.284863653496758,0.294391715602987,0.281346586143831,0.283015788932527,0.278535508339308,0.286271262738586,0.284711220980123,0.280115913100169,0.288109571135241,0.276071245494862,0.282793388927795,0.29248171495987,0.383920675103012,0.373498215769677,0.37587387221979,0.369061168021025,0.381405451634384,0.364504556570787,0.36666712776335,0.360862604903033,0.370884826127383,0.368863680830423,0.362910131921062,0.373266485688806,0.357669976736827,0.366378992704675,0.378930909657489,0.207283876994922,0.201656652626617,0.202939301130127,0.199261031553318,0.20592587440247,0.196800856447845,0.197968457387679,0.194834518320007,0.200245648811812,0.199154405593375,0.195940005380414,0.201531538474934,0.193110775924741,0.197812889438534,0.204589836288295
"4",4,0.382990989239572,0.367501488645044,0.371013329100931,0.360972263895555,0.379233461308405,0.354307828212289,0.357465612823669,0.349011007981083,0.363651098434952,0.360682564516378,0.351985639483562,0.36715952741649,0.344389605607452,0.357044339152203,0.375548778735236,0.721988315402165,0.69278857244511,0.699408852937194,0.680480126266975,0.714904881751451,0.667916789720545,0.673869628445289,0.657931587919035,0.685530081202418,0.679934004889132,0.663539158978818,0.692143930617304,0.649219637486055,0.673075472245976,0.707958771167817,0.294312634942437,0.282409598416776,0.285108301642462,0.277392160946591,0.291425131117641,0.272270819501351,0.274697445546526,0.268200433610137,0.279450733795603,0.277169539031136,0.270486314114051,0.28214681544524,0.264649078231221,0.274373714263637,0.288593605918605,0.381302997001818,0.365881764741285,0.369378127132161,0.359381316858629,0.377562029977198,0.352746253970073,0.355890120980093,0.34747277891326,0.362048344718402,0.359092894298795,0.350434300042317,0.365541310670642,0.342871744881322,0.355470704027733,0.373893587252372,0.205870557784138,0.197544429450089,0.199432161991624,0.194034751210023,0.203850759948647,0.190452392538467,0.192149808137193,0.187605173240577,0.195474715011605,0.19387902803518,0.189204137873749,0.197360613770762,0.185121013792614,0.191923359348159,0.201870118946878
"5",5,0.380379649995552,0.360007324086967,0.364601582533606,0.351504571027734,0.375411926791589,0.342878454881224,0.346959055124644,0.336060936120249,0.354986963522158,0.351128486609777,0.339885360996753,0.359560742854719,0.33014083561311,0.34641397333022,0.370556416726428,0.717065597963103,0.678661087995996,0.68732186856161,0.662632281757748,0.70770078728039,0.64637091989791,0.654063387288398,0.633519001644605,0.669197048974883,0.661923313236297,0.640728544823288,0.677819223720805,0.62235883466353,0.653035836516789,0.698547513101998,0.292305929418733,0.276650644864999,0.280181141265767,0.270116633028072,0.288488440895763,0.263487821793009,0.26662359324333,0.258248842373948,0.272792706721013,0.269827627805704,0.261187753716949,0.276307465774964,0.253699491531936,0.266204720570909,0.284757183499592,0.378703166959054,0.358420629920089,0.36299463965902,0.349955351844777,0.373757338469178,0.341367254391934,0.345429869821795,0.334579783123126,0.353422396062963,0.349580924979075,0.338387352251879,0.357976016947343,0.32868577483221,0.344887190417672,0.368923228550576,0.204466874977403,0.193516063558869,0.19598563223173,0.18894554737393,0.201796556417304,0.184308719374089,0.186502179460121,0.180644073391654,0.190817450644223,0.188743389330858,0.18269983058869,0.193276011103427,0.177461819950228,0.186209179634515,0.199186556199216
"6",6,0.377786115589868,0.352665982045693,0.358300641942292,0.342285199754687,0.371628901867289,0.331817773868926,0.336761304065258,0.323591377358904,0.346529255137732,0.341827485545877,0.328201056126575,0.352119223793376,0.316481593998968,0.336100107912018,0.365630420739395,0.712176444982728,0.664821694062226,0.675443768003671,0.645252556068352,0.700569288448934,0.625520083518899,0.634839287204803,0.610012245671606,0.653253157864655,0.644389704670175,0.618702095567615,0.66379098294731,0.59660937026426,0.633592845616774,0.689261363703503,0.290312906172243,0.27100912905683,0.275339130669832,0.263031929919859,0.285581343692942,0.25498814878647,0.258787045990002,0.248666505455506,0.266293309841892,0.262680195600697,0.252208851731185,0.270588968096293,0.243202932856351,0.258278944265572,0.280971760606123,0.376121063281685,0.351111644066633,0.35672146979628,0.340776613974559,0.369990986826722,0.330355322160202,0.335277064270566,0.322165182621867,0.345001964132822,0.340320917092666,0.326754544718397,0.350567295593428,0.315086734879377,0.33461878226937,0.36401894336934,0.203072762871031,0.189569844918263,0.192598664416445,0.183989824759751,0.199763053089136,0.178363230750466,0.181020544754021,0.17394126551981,0.186271147489325,0.183743787954393,0.17641912313466,0.189275943940068,0.170119517470488,0.180665129549233,0.1965386674238
"7",7,0.375210264624172,0.345474346133603,0.352108592409703,0.33330763702035,0.367883998474449,0.321113891782644,0.326863283262608,0.311584502233145,0.338273055085911,0.332772857602045,0.31691842486746,0.344831715443828,0.303387489627322,0.326093319655981,0.360769908536663,0.707320627609211,0.651264515843843,0.663770941392797,0.628328671232704,0.69350965371103,0.605341859976141,0.61618021802067,0.587377709118925,0.637689136426781,0.627320541793157,0.597432853823193,0.65005307259277,0.571925263790226,0.614728735497873,0.680098659838825,0.288333471913389,0.265482656178091,0.270580798320424,0.256133046609445,0.282703541300411,0.246762660904414,0.251180828964043,0.239439721653873,0.259948763729494,0.255722090884281,0.243538619197654,0.26498882123963,0.233140658630312,0.250589143978644,0.27723665927542,0.373556565106414,0.343951704528445,0.350556711066453,0.331838618897518,0.366262588699113,0.319698616300993,0.325422667946699,0.310211226527056,0.336782152408645,0.331306196462882,0.315521640462063,0.343311906165401,0.302050341386473,0.324656097873151,0.359179853359558,0.201688156209319,0.185704098364951,0.189270229213225,0.17916408238046,0.197750041368254,0.172609533568363,0.175700025157342,0.167487165687612,0.181833161851019,0.178876620429054,0.170354328776969,0.185358662722155,0.163080995295261,0.175286143782523,0.19392597838827
"8",8,0.372651976527845,0.338429363513083,0.346023552111611,0.324565540595123,0.364176832462505,0.310755298890432,0.317256183105018,0.300023142842268,0.330213562348942,0.323958076629765,0.306023658807902,0.337695030378997,0.290835140519004,0.316384465880904,0.355974009608792,0.7024979185511,0.637983798340998,0.652299841243166,0.611848671315043,0.686521158892408,0.585814551913268,0.598069572460964,0.565583028238962,0.622495934112247,0.610703521958168,0.576894788920782,0.636599483938522,0.548262437139792,0.596426271005245,0.67105776048334,0.28636753398867,0.260068880250137,0.265904698113947,0.249415109357349,0.279854738514449,0.238802513396881,0.24379817234554,0.230555298151897,0.253755379001498,0.248948298582944,0.235166444926828,0.259504575799926,0.223494700775999,0.243128293940142,0.27355121055721,0.371009552394025,0.336937771922973,0.344498489939251,0.323135052336758,0.362571761628889,0.309385677810287,0.315857910065947,0.298700822603691,0.328758181032654,0.322530265704515,0.304674891930482,0.336206675284431,0.289553315427931,0.31499003484321,0.354405091848469,0.200312990181499,0.18191718289588,0.185999315078157,0.174464911074008,0.195757314760788,0.167041440959154,0.170535885207057,0.16127254557013,0.177500913020541,0.174138378730179,0.164498025029295,0.181522454100266,0.156333684823124,0.170067307835263,0.191348021164479
"9",9,0.370111131552351,0.331528043600603,0.340043671744938,0.316052734595375,0.360507023551977,0.300730856744893,0.307931452911152,0.288890768301431,0.322346090295267,0.315376789350898,0.29550342423083,0.330706047139241,0.278802132100477,0.306964676112796,0.35124186501847,0.697708092066678,0.624973903910958,0.641026981375591,0.595800913963606,0.679603087116305,0.566917161894057,0.580491231368356,0.544597040142679,0.60766471600504,0.594526668401503,0.5570627650525,0.623424332623176,0.525578635897989,0.578668730130401,0.662137046427405,0.284415000376319,0.254765503133991,0.261309408937951,0.242873372254045,0.277034643106102,0.231099146830636,0.236632505291773,0.222000531652598,0.247709554176609,0.242353936466865,0.227082082512092,0.254133833065364,0.214247834626556,0.23588957756,0.269914754393916,0.368479905923762,0.330066868847362,0.338544965262202,0.314659765628201,0.35891812701261,0.299405417332216,0.3065742776332,0.287617512825056,0.320925384029124,0.313986799540827,0.294201024173529,0.329248495248379,0.277573341220073,0.305611761801231,0.349693803684436,0.1989472004187,0.178207490971665,0.182784927948544,0.169888991094909,0.193784668853709,0.161652965632164,0.165523528623918,0.155288519259917,0.173271881775557,0.169525647756758,0.158843044569567,0.177765640184698,0.149865537465762,0.165003853528884,0.188804334044688
"10",10,0.367587610765635,0.324767456797212,0.334167133965731,0.307763205120474,0.356874195295459,0.291029786206172,0.298880793319591,0.278171461105144,0.314666063954223,0.307022810778542,0.285344845794945,0.323861708867078,0.267266977178409,0.297825343980396,0.346572627246678,0.692950923953399,0.612229309874942,0.629948935858043,0.580174062185857,0.672754728729919,0.548629369824183,0.563429549356558,0.524389738241681,0.593186857684604,0.578778321610533,0.537912510508998,0.610521856068902,0.503833353883332,0.561439888733181,0.653334919986358,0.282475779682001,0.249570273554795,0.256793534239251,0.236503213867199,0.274242965791207,0.223644277885331,0.229677450088912,0.213763190215504,0.241807773580288,0.235934251631029,0.219275637789539,0.248874243968197,0.205383548168215,0.228866381200102,0.266326639502447,0.365967507287747,0.323336078614563,0.332694327701107,0.306406771376848,0.355301310062024,0.28974710323484,0.297563507865594,0.276945449840382,0.313279206591093,0.305669640244592,0.28408721859661,0.32243432267254,0.266089026272095,0.296512710307621,0.34504514508379,0.197590722990934,0.174573447834187,0.179626090940794,0.165433089768995,0.191831901293855,0.156438313436625,0.160658494221598,0.149526530561591,0.16914360891523,0.165035102869991,0.153382466468129,0.174086577811582,0.143665003132963,0.160091154648925,0.186294461458875
