"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.54517864488656,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.356582913453563,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.452892907220558,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.30374482836997,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817,0.19491913091817
"2",2,0.541461465030135,0.5340612518839,0.535757022991194,0.530879529735225,0.539684881224259,0.527592100733775,0.529154863344242,0.524949762510862,0.532189542554132,0.530737472069555,0.526436933043236,0.533895551950579,0.522622432415762,0.528946911743169,0.53793130630138,0.354151631826032,0.349311402685342,0.350420549214945,0.34723034583505,0.352989628443406,0.345080149707407,0.346102299877637,0.343351885640769,0.348087180914723,0.347137430720384,0.344324593589273,0.349203023962997,0.341829657736828,0.345966285768384,0.351842674392979,0.449804957229067,0.443657423613646,0.44506614113031,0.441014291114975,0.448329106675656,0.43828334541174,0.439581569596764,0.436088292008862,0.442102550018025,0.44089628042288,0.437323720051132,0.443519772725754,0.434154923373245,0.439408819240427,0.446872370150297,0.301673811524207,0.297550802501226,0.298495596852162,0.295778114489627,0.30068399259373,0.293946532186854,0.294817221208428,0.292474360491315,0.296507984638749,0.295698967439972,0.293302933588134,0.297458483225187,0.291177694734271,0.294701361528358,0.299706993001066,0.193590117990249,0.190944300644683,0.191550594074497,0.189806731295883,0.192954931387302,0.188631368302619,0.189190106860559,0.187686646283822,0.190275103567153,0.189755941051268,0.188218358210576,0.190885057518967,0.186854549935677,0.189115757386796,0.192327971209802
"3",3,0.537769629941364,0.523170567004046,0.526498222879058,0.516955456225798,0.534246478202841,0.510572868852186,0.513602049579779,0.505471473882752,0.519509910853001,0.516678829775869,0.508339508657084,0.522845975472727,0.500999460316355,0.5131984498418,0.530780310295025,0.351736927353853,0.342188174032886,0.344364681198037,0.338123080270446,0.349432552956131,0.333948445731104,0.335929730396881,0.33061179581288,0.339793862649389,0.337942148265167,0.332487680360652,0.34197586969007,0.327686802984444,0.335665749458178,0.347165449754857,0.446738061740745,0.434610271853169,0.437374634980006,0.429447231049096,0.443811295535934,0.424145063441584,0.426661476142419,0.419907212931009,0.431569277452285,0.429217430857365,0.422289757843837,0.434340625923973,0.416192204567765,0.426326196210966,0.440931867158815,0.299616915448166,0.291483086458623,0.293337081056742,0.288020354060086,0.297654000850949,0.28446431252299,0.28615201248856,0.281622083917794,0.289443561644601,0.287866232371086,0.283220001845174,0.291302241152418,0.27913051348316,0.285927147970676,0.295722834643071,0.192270166642657,0.187050525912683,0.188240271324093,0.184828421281809,0.19101052508955,0.182546438310644,0.183629469130642,0.180722523373332,0.185741722051335,0.184729518311719,0.181747939263883,0.18693447386299,0.179123632796835,0.18348516907248,0.189771257112814
"4",4,0.534102966812563,0.512501967169182,0.517399430710519,0.503396587649386,0.528862877953287,0.494102648704162,0.498506361002569,0.486715928181631,0.507132376519857,0.502992585199591,0.490864222933429,0.512025082563964,0.480271116716246,0.497918870633103,0.523724376136314,0.349338687009364,0.33521020369735,0.338413468965501,0.329254682901145,0.345911322108479,0.323175831761924,0.326056151040944,0.318344427690073,0.331698136055399,0.328990438562263,0.321057686990183,0.334898289605511,0.314129094476747,0.325671893459444,0.342550401856249,0.443692077200124,0.425747611438086,0.42981605124593,0.41818355543416,0.439339010366288,0.410462858616865,0.414121127487251,0.404326533645862,0.421286964377593,0.417847940960394,0.40777262106651,0.425351452018983,0.398972675000767,0.413633085220947,0.435070334312164,0.297574043862504,0.285539104506683,0.288267713260463,0.280466066585215,0.294654542326388,0.275287973282633,0.277741489847921,0.271172481638972,0.282547451393536,0.280240977697518,0.273483692999195,0.285273409520419,0.267581772115055,0.277414171155019,0.291791639740025,0.190959215091016,0.183236153821205,0.184987156627596,0.179980683931976,0.18908571256856,0.176657797903697,0.1782322685512,0.17401680461078,0.181316350188818,0.179836239891217,0.175499955162249,0.18306565203492,0.171712574499151,0.178022221599961,0.187248530724076
"5",5,0.530461304014297,0.50205092357623,0.508457881273918,0.490193345297358,0.523533528228218,0.478163730096571,0.48385436188066,0.468656307993072,0.495049741962383,0.489668873941512,0.473989688491,0.501428140357387,0.460400387270317,0.483094213961423,0.516762240119483,0.346956798535557,0.328374529541807,0.332565103885912,0.320618888617788,0.342425574694118,0.312750724161503,0.316472773951961,0.306532240908543,0.323795293431041,0.320275849641767,0.310020624715108,0.327967188101148,0.301132322382435,0.315975586906504,0.337996704149953,0.440666861030538,0.417065680183634,0.422388092800784,0.407215307008377,0.434911792401644,0.397222018657615,0.401949362248181,0.389323976287443,0.411249631582291,0.406779616140198,0.393754542711267,0.416548319305332,0.38246558597267,0.401317889236003,0.429286721819815,0.295545101144341,0.279716333434847,0.283285952833022,0.273109915313042,0.291685309336894,0.266407647278901,0.269578167604279,0.261110612403903,0.275815643766183,0.272817707495549,0.264082091127748,0.279369351425017,0.256510848186265,0.269154653217884,0.287912704221631,0.18965720197221,0.179499565175569,0.181790261331731,0.175260094545914,0.187180296377899,0.170959115110622,0.172993701410239,0.167559901896627,0.176996414605804,0.175072578945602,0.169466759219933,0.179276899880613,0.164608141208085,0.172721923758681,0.184759340227597
"6",6,0.526844471087348,0.491812999774379,0.499670857145197,0.477336401694435,0.518257882345252,0.462738974137259,0.469633011382446,0.451266790964221,0.483254981073813,0.476698092899329,0.457695253186672,0.491050513938168,0.44135178906437,0.468710935310129,0.509892655337854,0.344591150440822,0.321678249833824,0.326817808584098,0.312209596634254,0.338974953146591,0.302661912960129,0.307171069563021,0.295158345940613,0.316080739237508,0.311792100439242,0.299362985667074,0.321179533635944,0.288673278527376,0.306567970789112,0.333503541076481,0.437662271627449,0.408560792624276,0.41508850221557,0.396534737215496,0.430529187499907,0.384408305877221,0.390135347095259,0.374878089611166,0.40145144231186,0.396004478870583,0.380218366550094,0.407927377448692,0.366641460980095,0.389369356503025,0.423579993846643,0.293529992322777,0.274012301486374,0.27839028576885,0.265946703465585,0.288745997299836,0.257813785623728,0.261654780093075,0.251422089357546,0.269244224185894,0.265591071422336,0.255003689944355,0.273587484535771,0.245897972485755,0.261141047867947,0.284085333377156,0.188364066341515,0.175839173800044,0.178648613868845,0.170663318247262,0.185294081060801,0.16544426221898,0.167909105185507,0.161342582898272,0.17277940324017,0.170435102052871,0.16364096762279,0.175566560266984,0.157797646625552,0.167579432942579,0.182303239813609
"7",7,0.523252298734738,0.481783849781817,0.491035687862044,0.46481667400926,0.513035399130925,0.447811794805845,0.455829651969828,0.434522512881991,0.471741235147229,0.464070893346184,0.441960974840046,0.480887664316319,0.423091307253726,0.4547558934267,0.503114391460517,0.342241631993731,0.315118522013681,0.321169836400976,0.304020866177737,0.335559103502638,0.292898549802815,0.298142759006539,0.284206479945421,0.308549987426568,0.303533076268629,0.289071726340332,0.314532357410061,0.276729714952064,0.297440449858435,0.329070107917997,0.434678168351816,0.400229338449238,0.407915061073534,0.386134300730813,0.426190746095367,0.372007941872843,0.378668567109606,0.360968218322006,0.391886698874827,0.385514762941104,0.36714752613795,0.399484855801787,0.351472043080039,0.377776570270017,0.417949128327408,0.291528623074453,0.268424587309086,0.27357922422699,0.25897137056757,0.28583630470186,0.249497147460082,0.253964275200707,0.242093059469876,0.262829371342394,0.258555860859638,0.24623737871638,0.267925279966514,0.235724193733505,0.253366033491402,0.280308841731017,0.187079747669743,0.172253425864512,0.175561259461642,0.166187107627834,0.183426873130118,0.160107309186008,0.162973954394671,0.155355957849304,0.168662863880692,0.16592046673853,0.158015450391485,0.171933010357201,0.151268929336161,0.162590050725653,0.179879789598717
"8",8,0.519684618813801,0.471959216240874,0.482549749112316,0.452625317637805,0.507865542865175,0.433366141119007,0.442431998132534,0.418399532121233,0.460501808887185,0.451778174192541,0.426767596826918,0.470935146441418,0.405586334323342,0.441216338316241,0.496426234511982,0.339908133217853,0.30869256148771,0.315619470862729,0.296046912291872,0.332177675365883,0.283450136284223,0.289379806745746,0.273660983515671,0.301198658831907,0.295492824415066,0.279134251628259,0.308022752066349,0.265280304183708,0.288584684774026,0.324695610654188,0.431714411523517,0.392067780969927,0.400865589295967,0.376006650130744,0.421896023152587,0.36000759270969,0.367538816424729,0.347574473540751,0.382549839329527,0.375302907859551,0.354526024537684,0.391217061755184,0.336930244431803,0.366528938812031,0.412393116783706,0.289540899719132,0.262950818927508,0.26885130607893,0.252178988871447,0.282955933067963,0.241448790025404,0.246499808087884,0.233110183728278,0.25656735496968,0.251707005159686,0.237772428666992,0.262380261169253,0.225971344739454,0.245822506462592,0.276582552920003,0.185804185840413,0.168740799224874,0.172527259833014,0.161828300453477,0.18157848104847,0.154942517262126,0.15818385656747,0.149591466838562,0.164644402741074,0.1615254190665,0.152583322655362,0.168374660900892,0.145010331090724,0.157749218569253,0.177488555547127
"9",9,0.516141264328318,0.462334928610773,0.474210461936484,0.440753719955069,0.502747783226391,0.419386479871092,0.429428125453548,0.40287479541206,0.449530166516365,0.439811075426553,0.412096524511784,0.461188607258424,0.388805611860978,0.428079899592484,0.489826986654754,0.337590544886609,0.30239764044624,0.310165025159151,0.288282101749927,0.328830321870897,0.274306512659874,0.280874413422761,0.263506778287203,0.294022478622626,0.287665549844451,0.269538399408649,0.30164787041873,0.254304601152034,0.279992584484594,0.320379265820061,0.428770862414807,0.38407265561862,0.39393794447966,0.366144630702221,0.417644578120753,0.348394354583233,0.356736189142918,0.3346777043661,0.373435434249815,0.365361553402698,0.34233841474195,0.383120379122202,0.322990097926572,0.355616185754058,0.406910964143353,0.287566729215312,0.257588672735966,0.264205094464243,0.24556475987616,0.280104586930873,0.23366005903558,0.23925473509746,0.224460618064902,0.250454533676845,0.245039567990503,0.2295984798446,0.256950002850981,0.216622009962565,0.238503574653789,0.27290579957215,0.184537321146934,0.1652998027769,0.16954569292089,0.1575838174301,0.1797487152086,0.149944332820141,0.153534548336246,0.144040867570839,0.160721683067947,0.157246791293829,0.147337936226298,0.16488995553903,0.139010675988269,0.153052513657183,0.175129109392899
"10",10,0.512622069420692,0.452906901397249,0.466015291943863,0.42919349423066,0.497681595237009,0.405857778931479,0.416806459995932,0.387926104877383,0.438819927974998,0.428160971728178,0.397929802490524,0.451643783803728,0.372719174739437,0.415334575175603,0.483315465974805,0.335288758518155,0.296231086705645,0.304804841631008,0.280720949075195,0.325516699647611,0.265457846921521,0.272619008916869,0.253729345379353,0.287017273817405,0.280045611026659,0.260272425658927,0.295404924206881,0.243783006680775,0.271656298835643,0.316120300365623,0.425847383243824,0.376240568477761,0.387130021245805,0.356541275388215,0.413435974888478,0.337155739943928,0.346251070518629,0.322259470491956,0.364538183567821,0.355683534311404,0.330569780768166,0.375191266557268,0.309626710818276,0.345028340682042,0.401501688562167,0.285606019155879,0.252335872512225,0.259639177353918,0.239124010937233,0.277281973800741,0.226122579379115,0.23222260784133,0.216131994991715,0.2444873528306,0.238548743778026,0.221705528443673,0.251632129912888,0.207659494412119,0.231402551138221,0.269277923187208,0.183279094289811,0.16192897582326,0.166615652598014,0.153450660028293,0.177937387913923,0.145107381383517,0.149021891641393,0.138696223581729,0.156892423782041,0.153081499587537,0.142272871462219,0.161477370123209,0.13325925051937,0.148495644854801,0.172801028563256
