"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,0.227712044442063,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,1.7167959471401,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,2.06657390952778,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.253809857719169,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999,0.478822002769999
"2",2,0.226159440295505,0.223068494454832,0.223776789817039,0.221739542079098,0.22541739081438,0.22036643771065,0.22101917763791,0.219262777021644,0.222286712625921,0.221680206956966,0.219883943396258,0.222999284351072,0.218290689983721,0.220932319715889,0.224684951760657,1.70509035417134,1.68178669755055,1.6871267690878,1.67176728879159,1.6994957992373,1.66141500364775,1.66633622450105,1.65309414296361,1.67589258738737,1.67131994180365,1.65777732042595,1.68126489983041,1.64576525928043,1.66568137407858,1.69397370047419,2.05248343298332,2.02443191710611,2.0308599684609,2.01237116593493,2.04574905008746,1.9999097185405,2.00583358307164,1.98989357560673,2.01733694795536,2.01183267700424,1.99553089806984,2.02380380893969,1.98107151388714,2.00504531420371,2.03910188549653,0.252079311412331,0.248634115854225,0.249423588126302,0.247152853788237,0.25125221650092,0.245622379520864,0.246349929214037,0.244392229560491,0.247762734916736,0.247086718336583,0.245084587092773,0.248556973660753,0.243308732754732,0.246253116606324,0.250435833456847,0.475557260982689,0.469057767811342,0.470547137443571,0.466263310277512,0.473996914802594,0.4633760120438,0.464748562362886,0.461055287100228,0.467413874349467,0.466138543218819,0.462361446061976,0.46891223611329,0.459011228941137,0.464565921676133,0.472456776969876
"3",3,0.224617422236486,0.218519636676513,0.219909543140395,0.215923688366683,0.223145860404812,0.213257787870933,0.21452302623442,0.211127020114543,0.216990641540749,0.215808146103516,0.212324950495933,0.218384060197319,0.209259134492962,0.214354449342545,0.221698099770621,1.69346457319595,1.64749136364728,1.6579703253111,1.62791965610664,1.68236998487598,1.60782055604456,1.61735960392375,1.59175599759123,1.63596376677067,1.62704854500835,1.60078758847069,1.64646920800955,1.57767339395597,1.61608864732828,1.67145484160678,2.03848902923275,1.98314929270273,1.9957632255405,1.9595900687683,2.02513404269682,1.93539600198798,1.94687852412564,1.91605846952058,1.96927307696234,1.95854147853193,1.92693014597351,1.98191888429226,1.89910669298632,1.94534862434651,2.01199506113266,0.250360564452243,0.243563918762416,0.245113120793891,0.240670451827987,0.248720348625991,0.237699015568752,0.239109261433456,0.235324042991404,0.241859687267712,0.240541667400064,0.236659266784255,0.243412804020205,0.233242081165402,0.238921364139545,0.247106661824857,0.472314779114256,0.459492647103443,0.462415275980321,0.454034011079838,0.469220449232988,0.448428282943286,0.451088765697595,0.443947806352547,0.456277549215556,0.453791054331593,0.446466757099317,0.459207563363341,0.440020105749523,0.450734290267075,0.466176167372125
"4",4,0.223085918086111,0.214063540124461,0.216109129118158,0.210260374675262,0.220897220200756,0.206378451092989,0.208217808411935,0.203293140896627,0.211820751497205,0.210091629577366,0.205025814558261,0.213864353363505,0.200601250433581,0.207972423464495,0.218750953531863,1.68191806003353,1.61389538711749,1.62931775488243,1.58522207277662,1.66541674729754,1.5559549749844,1.56982249436944,1.53269380733838,1.59698626649982,1.58394984802067,1.5457570035663,1.6123936526582,1.5123987603705,1.56797245659789,1.64923533744868,2.02459004322499,1.94270851191149,1.9612730145242,1.90819333064302,2.00472677267733,1.87296338918972,1.88965626046469,1.84496301894042,1.92235434718986,1.9066619043299,1.86068769521581,1.94090081586132,1.820533083265,1.88742929820008,1.98524858165019,0.248653536387674,0.238597114153418,0.240877145728885,0.234358072323599,0.246213994376476,0.23003124598243,0.232081409910123,0.226592331963292,0.236097282123133,0.23416998754577,0.228523585343458,0.238375098828838,0.223591927056756,0.231807901678493,0.24382174657424,0.469094405390372,0.450122580268297,0.454423947028259,0.442125465747135,0.464492116093414,0.433962742388262,0.437830455040112,0.427475099580396,0.445406551544722,0.441770636621033,0.431118482936965,0.449703739868177,0.421814720982894,0.437314471301655,0.459979049130286
"5",5,0.221564856157622,0.209698313193022,0.212374392767449,0.204745600137698,0.218671239537675,0.199721030123968,0.202097912288881,0.195749938180314,0.206774036180794,0.204526537183176,0.197977602430119,0.209438187009913,0.192301577529795,0.201780411157112,0.215842985215521,1.67045027421405,1.5809845065244,1.60116035000627,1.54364437494918,1.64863434744621,1.50576249014669,1.52368258601843,1.47582312277027,1.55893742098174,1.54199278733372,1.49261821573527,1.57902332973201,1.44982479842343,1.52128884063017,1.62731120852463,2.0107858243753,1.90309240768748,1.92737885350057,1.85814464215936,1.98452514666011,1.81254474724642,1.83411586211681,1.77650556880419,1.87655347518389,1.85615656204938,1.79672247401495,1.90073166307023,1.74521037680648,1.83123441789295,1.9588576568003,0.246958147315929,0.233731593626847,0.236714375577159,0.228211255873191,0.243732896651643,0.222610825718478,0.225260119591228,0.218184611533461,0.230472168618286,0.227967086367555,0.220667585798939,0.233441654683627,0.214341038268739,0.224906230023034,0.240580499382284,0.465895989071549,0.440943589727948,0.446570721944597,0.43052926144722,0.459811430353513,0.419963835789008,0.424961829994103,0.411613613461932,0.434794559802544,0.430068626337321,0.416297839367522,0.440396608823735,0.404362565512314,0.42429420379028,0.453864312351061
"6",6,0.220054165253043,0.205422102850545,0.208704199065476,0.199375468822838,0.216467690075439,0.193278366333926,0.196157890926985,0.18848662639868,0.201847560903685,0.199108857864977,0.191171688055117,0.205103625209775,0.184345295159024,0.195772755101274,0.212973674009433,1.65906067895255,1.54874475125334,1.57348955337272,1.50315718991885,1.63202106379071,1.45718913026742,1.47889881261279,1.4210626279529,1.52179510464028,1.50114712227819,1.44130619030326,1.54634364364277,1.3898397705699,1.47599514703683,1.60567852826055,1.99707572653478,1.86428416305963,1.89407044170358,1.80940864625182,1.96452709237111,1.75407510885297,1.78020789603355,1.71058823596627,1.83184382752976,1.80698904982309,1.7349561976095,1.86139385664305,1.67300407079155,1.77671264109001,1.93281756001339,0.245274317879114,0.228965291777243,0.232623545232273,0.222225660037462,0.241276800941565,0.215429775704679,0.21863931927122,0.210088860013671,0.224981075724172,0.221928493106977,0.213081653471993,0.228610313783485,0.205472895604408,0.218210043475266,0.237382339747146,0.462719380446084,0.431951779016013,0.438853214057658,0.419237206002286,0.455177911870571,0.406416510320651,0.412471436998122,0.396340668622557,0.424435403067721,0.418676589223686,0.401986687931927,0.43128209945574,0.387632475241023,0.411661591792713,0.447830861895528
"7",7,0.218553774659844,0.201233093852774,0.205097432604586,0.194146186983227,0.2142863457749,0.187043532018256,0.190392457483293,0.181492820183831,0.197038460898173,0.193834686815187,0.184599741916478,0.200858772102533,0.176718195886887,0.189943966414565,0.21014250602486,1.64774874112404,1.51716243558125,1.54629695555687,1.46373191537663,1.61557519214761,1.41018266510454,1.43543131490581,1.36833402418424,1.48553771905015,1.46138341322631,1.39175812830556,1.51434030087461,1.33233656229243,1.43204999332923,1.58433342228033,1.98345910796019,1.82626730399193,1.86133765638211,1.76195091321101,1.94473055841861,1.69749160244002,1.72788438209275,1.64711676924033,1.78819940536469,1.75912393002853,1.67531327244843,1.82287019091997,1.60378522731844,1.72381415408368,1.90712362755257,0.243601969260418,0.224296185317312,0.228603411450998,0.21639705627196,0.238845455301009,0.208480374260234,0.212213116188207,0.202293501781058,0.219620810345382,0.216049855430987,0.205756504209586,0.223878962985473,0.196971663331806,0.211713224078322,0.234226694883897,0.459564430823049,0.423143331123638,0.431269077941546,0.408241322101519,0.450591085340275,0.393306198737075,0.400348159131509,0.381634427207068,0.414323057443657,0.407586314437388,0.388167513720435,0.422356225239231,0.371594575455096,0.399405093549365,0.441877617183007
"8",8,0.217063614147632,0.197129507972282,0.201552997253284,0.189054060374997,0.212126982874707,0.181009822948422,0.184796480504679,0.174758519517493,0.192343939650807,0.188700222660211,0.178253720842834,0.196701771064623,0.169406660097165,0.184288719636364,0.207348974204446,1.6365139312385,1.48622415286708,1.51957429246312,1.42534069920379,1.59929504550653,1.3646925492756,1.39324140518578,1.31756191803975,1.45014418037726,1.42267300037311,1.34391338962961,1.48299930373224,1.27721249082787,1.3894132291094,1.56327206771192,1.96993533128386,1.78902569239027,1.82917054972355,1.71573791636069,1.92513351408275,1.64273338456906,1.67709875039435,1.58600041463525,1.74559482925936,1.7125267037462,1.61772070367483,1.78514381633195,1.53743024316009,1.67249062628169,1.88177125767839,0.241941023180425,0.219722292219044,0.22465275247548,0.210721326939813,0.236438610323595,0.201755148792755,0.205975790779171,0.194787390726858,0.214388255463302,0.210326936294973,0.198683173021809,0.219245532880555,0.188822160906297,0.205409836026721,0.231112999621925,0.456430992525332,0.414514506879184,0.423816008703344,0.397533841665491,0.446050480247949,0.380618803706969,0.388581206219904,0.367473861655028,0.404451642555534,0.396789808631734,0.374823403936749,0.41361508215492,0.356220227476545,0.387513510936195,0.436003511997534
"9",9,0.215583613964865,0.193109603243613,0.198069815823107,0.184095491648058,0.209989379868351,0.175170751163002,0.179364979360659,0.168274095432603,0.187761267276201,0.183701764720593,0.172125858164479,0.192630803897418,0.162397631671418,0.178801847862256,0.204592578231413,1.62535572341614,1.45591676986072,1.49331344281358,1.38795641979564,1.58317895385711,1.32066986790699,1.35229153284246,1.26867371357189,1.41559390711846,1.38498798307984,1.29771341879975,1.45230694421862,1.22436912180804,1.34804589938669,1.54249069250266,1.95650376348385,1.75254351925178,1.79755934583052,1.67073700837271,1.90573394910722,1.58974157450836,1.62780579981151,1.52715178559157,1.70400532445966,1.66716378589442,1.56210800579016,1.74819823203095,1.47382062904733,1.62269516604998,1.85675590982467,0.240291401893449,0.215241670872342,0.220770367661934,0.205194462402811,0.23405601911621,0.195246867763087,0.199921791589349,0.187559794319257,0.20928036832355,0.204755610888896,0.191853003109951,0.214707996888468,0.181009835862854,0.199294120243123,0.228040696303726,0.453318918882725,0.406061643360954,0.416491741282641,0.387107200358384,0.441555630820294,0.36834068265517,0.377160105231597,0.35383872463474,0.39481541813085,0.386279290194847,0.361938027199041,0.405054846981643,0.341481977523581,0.375975979233567,0.430207494296893
"10",10,0.214113704835588,0.189171673223824,0.194646829741254,0.179266977804738,0.207873317481443,0.169520037991276,0.174093119810446,0.162030276245424,0.183287778929598,0.178835710343737,0.166208654208013,0.188644090031985,0.155678594674844,0.173478338023294,0.201872824439944,1.61427359536274,1.42622742112793,1.46750642567999,1.35155266690135,1.56722526401764,1.27806728403647,1.31254525094563,1.22159950850957,1.38186680813323,1.34830119976445,1.25310167331324,1.42224979803932,1.17371209348674,1.30791020898664,1.52198557474372,1.94316377585437,1.71680529795399,1.76649443774994,1.6269163982032,1.88652987349307,1.53845919091935,1.57996165775983,1.47048673803272,1.66340670648001,1.62300248102276,1.50840711638948,1.71201727867275,1.41284279808414,1.57438227787022,1.83207310378532,0.238653028183899,0.210852419260818,0.21695507711576,0.199812558188782,0.231697437273682,0.188948532909339,0.194045730331222,0.180600378257603,0.204294178666601,0.199331863664327,0.185257635271742,0.210264370371337,0.173520737829903,0.193360489116565,0.225009234685017,0.45022806422506,0.397781152342292,0.40929404976315,0.376954032244128,0.437106075977606,0.356458633092994,0.366074690956123,0.340709520092819,0.385408780661422,0.37604718364105,0.349495613552562,0.396671775624153,0.327353507686739,0.364781957199717,0.424488526024209
