"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,0.316114956343992,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.93265177911684,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,1.90893132342746,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.460981253184266,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705,0.409228724201705
"2",2,0.313959596520092,0.309668676327969,0.310651947801603,0.307823794897706,0.312929466823151,0.305917620683025,0.306823768858522,0.304385494214359,0.308583389296612,0.307741424553228,0.305247811277449,0.30957259731299,0.303036021232776,0.306703190747271,0.311912678536612,1.91947442096057,1.89324075381851,1.89925224212281,1.88196158683542,1.91317645260583,1.87030769032285,1.87584766509586,1.86094063290884,1.88660556661869,1.88145799410876,1.86621263466863,1.89265334953565,1.85269027554236,1.87511047915588,1.90696005046627,1.89591569794525,1.87000401045091,1.87594171658529,1.85886327863939,1.88969502788133,1.84735241655176,1.85282439628938,1.83810032597903,1.86345026040685,1.85836586677215,1.8433076216777,1.86942381569095,1.82995122960454,1.85209625822166,1.88355492292738,0.457838154597045,0.451580830393358,0.453014706605286,0.448890493423748,0.456335946399968,0.446110774968051,0.447432184515838,0.443876519468941,0.449998187858611,0.448770375144429,0.445134011379424,0.451440721158281,0.441908622241353,0.447256348960716,0.454853193593924,0.406438488772381,0.400883649431078,0.402156550072519,0.398495345876126,0.405104927505565,0.39602769533848,0.397200755500154,0.39404427080413,0.399478683869272,0.398388712797537,0.395160589107024,0.4007592697017,0.392297301559191,0.397044660302367,0.40378863745053
"3",3,0.311818932539832,0.303353850155591,0.305283349415189,0.299750096613947,0.3097760774712,0.296049233882262,0.29780566609479,0.293091254395754,0.30123126488885,0.299589698258356,0.294754248161165,0.303165639852941,0.290498213772152,0.297571643880698,0.30776626375759,1.90638690970268,1.85463340610549,1.86642990640397,1.83260091269136,1.89389737890498,1.80997471674865,1.82071312621747,1.79189033256353,1.84165642380912,1.83162027523312,1.80205748155436,1.85348273300709,1.77603709792861,1.81928236997092,1.88160985510597,1.88298881662298,1.83187051110033,1.84352222672232,1.81010843411062,1.87065257643101,1.78775994141693,1.79836655271666,1.76989751642713,1.81905280215929,1.80913983253366,1.77993987863033,1.83073396082041,1.7542388569111,1.79695335689694,1.85851586389916,0.454716486531478,0.442372102922026,0.4451858356128,0.437116853872732,0.451737450358995,0.43171999331401,0.43428134736011,0.427406457800367,0.439276798518941,0.436882949612636,0.429831553274756,0.442097641307868,0.423625102023815,0.433940079566986,0.448806597434217,0.403667277945414,0.392708749110114,0.39520659524016,0.388043485937373,0.401022686297066,0.383252509415259,0.385526310445721,0.379423237350824,0.389960942202261,0.387835841176803,0.381576077016638,0.392465100208064,0.376066399324327,0.385223355428296,0.398420868555141
"4",4,0.309692864202855,0.297167797193536,0.300007529615352,0.291888157801214,0.306654464814828,0.286499184605933,0.289052621601346,0.282216087941369,0.294054307827038,0.291653902079759,0.284621424296097,0.29689128167413,0.278479145355422,0.288711972725536,0.303674969391115,1.89338863274197,1.81681334722217,1.83417479693247,1.78453488566921,1.87481258037528,1.75158798320712,1.76719909066348,1.7254021472548,1.79777821255782,1.78310270181409,1.74010780256166,1.8151227969973,1.70255536765058,1.76511644432652,1.8565966528592,1.87015007437826,1.79451463776798,1.81166300123946,1.76263234681608,1.85180201571008,1.73008981908327,1.74550932317543,1.70422537572122,1.77571313136156,1.76121774090958,1.71875054075619,1.79284483655859,1.68165900670576,1.74345223825657,1.83380966189008,0.451616102868301,0.433351161680609,0.437492260936578,0.42565201700368,0.447185293349618,0.417793434019604,0.421517036976218,0.411547518638771,0.428810850628757,0.425310408693555,0.415055150735512,0.432947927135383,0.406098043877213,0.421020278621337,0.442840381770092,0.400914962005767,0.384700553007077,0.388376747545589,0.37786576063359,0.396981581821678,0.370889429456579,0.374194998342175,0.365344718115036,0.38066996459075,0.377562503327651,0.368458562328879,0.384342587997964,0.360507034177051,0.373754009068967,0.39312445615729
"5",5,0.307581291992001,0.291107891472499,0.294822885029013,0.284232424366206,0.303564308640364,0.27725720382208,0.280556844838597,0.27174444511192,0.287048344678112,0.283928316270058,0.274836938479152,0.290746778483422,0.266957353681741,0.280116082661724,0.299638062693349,1.88047898165415,1.77976452261579,1.80247711106602,1.73772954936139,1.85592009930638,1.6950847072753,1.71525792892471,1.66138100956909,1.75494541748606,1.73587030467439,1.68028777967959,1.77755676354968,1.6321138692973,1.71256321363774,1.83191596390415,1.8573988702543,1.75792053294708,1.78035435780744,1.71640147711312,1.83314141203621,1.67428003768964,1.69420566273866,1.6409900032603,1.73340604579864,1.71456505191781,1.65966472059882,1.75573987087364,1.61208207405357,1.69154402111516,1.80943189206152,0.448536858484529,0.424514177294391,0.429931644424259,0.414487883443753,0.442679008413548,0.404316122053985,0.409127892646697,0.396277026251297,0.418594258191922,0.414044411445822,0.400786719447653,0.423987576717906,0.389296149952011,0.408485141974597,0.436953478062509,0.398181412122834,0.376855661655894,0.381664931331497,0.367954979876265,0.392981199544657,0.358925161618655,0.363196733894545,0.351788583078108,0.371600348289144,0.367561294712977,0.355791990983609,0.376388180428425,0.345591421952719,0.362626142280013,0.387898451678558
"6",6,0.305484117068644,0.285171560572472,0.28972783999213,0.276777487890107,0.300505291960929,0.268313353760401,0.272310774244928,0.261661353142017,0.280209301442745,0.276407372591587,0.265388815825798,0.28472944278395,0.255912264431152,0.271776120072244,0.295654820661193,1.86765735216334,1.74347120512125,1.77132721556884,1.69215183797952,1.83721799771576,1.64040413178539,1.66484341140901,1.5997353795742,1.71313313112937,1.68988904093115,1.62252420130765,1.74076820194656,1.56458681636208,1.66157466275505,1.80756336797154,1.84473460739182,1.72207266250035,1.74958678142426,1.67138316504723,1.81466885121278,1.62027058577305,1.64440990921436,1.58010098263009,1.69210694370851,1.66914814050174,1.60261010512233,1.71940283471076,1.54538381629206,1.64118127963846,1.78537818839651,0.445478609246667,0.415857398478037,0.422501688330764,0.403616566252985,0.438218133298031,0.391273565455561,0.397102887566016,0.38157314628935,0.408621080213623,0.403076837870287,0.387008796785106,0.415212670956869,0.373189417315394,0.396323216925329,0.43114483197706,0.395466500344413,0.369170744913094,0.375069106811492,0.358304142160763,0.389021129108524,0.347346840894693,0.352521728232831,0.338735449146787,0.362746819274452,0.35782500693359,0.343560860814223,0.368598398382464,0.331292928028268,0.351829588109167,0.382741919150461
"7",7,0.303401241268067,0.279356284530752,0.284720846070834,0.269518081807792,0.297477100983919,0.259658017226317,0.264307070506627,0.251952394831522,0.273533201186295,0.26908565030307,0.256265493114427,0.278836642699658,0.245324154525282,0.263684465167682,0.291724529902797,1.85492314411378,1.70791798828499,1.74071564368393,1.64776955299504,1.81870435714996,1.5874874594934,1.61591066729513,1.54037711393197,1.67231703945369,1.64512576945942,1.56674637265471,1.7047410215227,1.49985362662715,1.61210420609534,1.78353450355301,1.83215669300107,1.68695580906576,1.71935092152344,1.62754560727938,1.79638243833251,1.56800338773912,1.59607774250457,1.52147125232215,1.65179180947611,1.62493427229496,1.5475168672101,1.68381783489392,1.48144513117267,1.59231800001282,1.76164424291778,0.442441212003962,0.407377150443182,0.41520013461999,0.393030385352523,0.433802210408433,0.378651739748992,0.385431319026303,0.367414854568994,0.39888551724566,0.392399783057496,0.373704520437879,0.406619371863911,0.357749084375407,0.384523391756093,0.425413403195145,0.392770099590717,0.361642540544162,0.368587269450188,0.348906429620091,0.385100964290974,0.336142017281332,0.34216048019954,0.326166652438517,0.354104229179422,0.348346622532731,0.331750202575098,0.360969834747385,0.317586019761102,0.341354482307241,0.377653935046824
"8",8,0.301332567094869,0.273659594772228,0.279800381590854,0.262449077687246,0.294479425078817,0.251281887259734,0.256538610025624,0.242603687931267,0.267016161726203,0.261957872252609,0.24745580463454,0.273065800824163,0.235174116908085,0.255833725024421,0.287846486509795,1.84227576144171,1.67308977982494,1.71063309225613,1.60455134039238,1.80037727848778,1.53627778985533,1.56841614459602,1.48322133986743,1.63247340771671,1.60154822700558,1.51288602921815,1.66945946462749,1.43779870684148,1.56410664507912,1.75982506711995,1.81966453833412,1.65255506559679,1.68963758913234,1.5848578346184,1.7782802975831,1.51742224141427,1.54916614515877,1.46501698124989,1.61243719966814,1.58189158002779,1.49431758020581,1.64896930717449,1.42015184418137,1.54490953840478,1.73822580491621,0.439424524581703,0.399069833338488,0.40802476427857,0.382721862099015,0.429430786761303,0.366437072864873,0.374102798891532,0.353781907009746,0.389381908014038,0.382005551490213,0.360857607774872,0.398203920882214,0.342947579521738,0.37307488558125,0.419758165227652,0.390092083648422,0.354267852838729,0.362217449354011,0.339755203208395,0.381220302963201,0.325298642391338,0.332103767893296,0.314064221595088,0.345667552298738,0.33911930993823,0.320345561621269,0.353499152924571,0.304446220895765,0.331191254315681,0.37263358811838
"9",9,0.299277997718398,0.26807907306147,0.274964951175056,0.255565481606566,0.291511956745332,0.243175957127405,0.248998478579214,0.233601865293675,0.260654393374482,0.255018901074158,0.238948968521428,0.267414393093439,0.225444026783747,0.248216726830113,0.284019995931235,1.82971461214755,1.63897179522391,1.68107041890473,1.56246666851886,1.78223488174543,1.48672005784282,1.52231757139589,1.42818633381442,1.59357906666597,1.55912500493354,1.4608772532374,1.63490809973284,1.37831124630732,1.51753812683496,1.73643081235277,1.8072575586573,1.61885582903444,1.66043775407953,1.54328969014272,1.76036057205482,1.46847275761231,1.50363336408671,1.41065744888363,1.5740202294006,1.53998904055892,1.44294713539233,1.61484200942368,1.36139450465863,1.49891258017234,1.71511868018951,0.436428405774566,0.390931920721509,0.400973396641493,0.372683714001293,0.425103413937898,0.354616430545884,0.363107244351689,0.340654810688798,0.38010472612691,0.371886651496848,0.348452335916149,0.389962637242572,0.328758471891436,0.361967238497025,0.414178105231113,0.387432327164764,0.347043551253996,0.355957710672524,0.33084399801078,0.377378747048651,0.314805056498136,0.322342640461003,0.302410852086486,0.337431882666553,0.330136418538622,0.309332980217896,0.346183085370112,0.291850067857003,0.321330618522444,0.367679979229561
"10",10,0.297237436968221,0.262612350476191,0.270213085288988,0.248862430625986,0.288574391581849,0.235331510638114,0.241679965166141,0.224934055759879,0.254444196733998,0.248263735484756,0.230734573560635,0.261879947681844,0.216116509251462,0.240826511330255,0.280244372849184,1.81723910826809,1.60554955145358,1.65201863924506,1.5214858065155,1.76427530588373,1.4387609747325,1.47757391822665,1.37519340456401,1.55561139906585,1.51782552658687,1.41065639301948,1.60107181468372,1.32128501900697,1.47235610413333,1.71334754938036,1.79493517322378,1.58584379410822,1.63174254225042,1.50281180789586,1.74262142354999,1.42110230165051,1.45943887339664,1.35831492983319,1.53651855903116,1.49919645251535,1.39334266230755,1.5814210149659,1.30506819035472,1.4542851002906,1.6923187302911,0.433452715340003,0.382959958061728,0.39404388872938,0.362908849575632,0.420819648038193,0.343177102223705,0.352434868948696,0.328014795969268,0.371048576860959,0.362035789851817,0.336473522490263,0.381891916353488,0.315156424171645,0.35119030202484,0.408672223826308,0.384790705641668,0.339966569085826,0.349806151010104,0.322166518676151,0.373575902482184,0.304649975998282,0.312868410131244,0.291189881468194,0.329392431203645,0.321391473889707,0.298698980457897,0.339018432165641,0.279775067851144,0.311763565778215,0.36279222119747
