"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,2.01750508180385,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.730864587962884,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.255903182826467,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.402513246654899,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327,0.406105048655327
"2",2,2.00374917019459,1.97636371082454,1.98263913422681,1.96458933069419,1.9971746888017,1.9524237684905,1.95820697650468,1.94264544932379,1.96943720495369,1.9640636276699,1.94814891893823,1.97575051648784,1.93403285905097,1.95743742432968,1.99068535479822,0.725881349625081,0.715960649717466,0.71823399454349,0.71169524411324,0.723499667577478,0.707288128271235,0.709383162370783,0.703745818874744,0.713451442724643,0.711504802102605,0.705739514498314,0.71573851296536,0.700625808274617,0.709104383180402,0.721148831158091,0.254158363645966,0.250684753453275,0.25148073698596,0.249191274513202,0.253324447177033,0.247648177488625,0.248381727729031,0.246407881729263,0.249806185704324,0.249124593602035,0.247105949557506,0.250606975020959,0.245315448662763,0.248284116648539,0.252501330922759,0.399768799222037,0.394305115258318,0.395557127493908,0.391956003964196,0.398457121807001,0.389528847777995,0.39068265792443,0.387577971405927,0.392923205298738,0.391851120743334,0.388675970832226,0.394182776610689,0.385859670072222,0.390529124261877,0.397162432181718,0.403336111315956,0.397823672507138,0.399086856996287,0.39545359906403,0.402012729228831,0.393004784300086,0.394168890399826,0.391036499403668,0.396429431159713,0.395347779924249,0.39214429675977,0.397700242178172,0.389302864914547,0.394013986689155,0.400706486520949
"3",3,1.99008705022229,1.93606130298902,1.94837573001455,1.91306147037141,1.97704916511232,1.88944186864618,1.90065174924026,1.87056348745562,1.92251456476525,1.91203777791073,1.88117702631353,1.9348601094535,1.85401421469755,1.89915817547316,1.96422215614197,0.720932088394311,0.701360635589978,0.705821679438236,0.69302867977936,0.716208963473961,0.684472205429703,0.688533114537392,0.677633293144085,0.696453172734268,0.692657835326365,0.681478170549439,0.700925489316333,0.671638127370031,0.687992050137738,0.711562230878109,0.252425441128644,0.245572739345505,0.247134718593507,0.242655408219845,0.250771697439443,0.239659464708677,0.241081341733425,0.237264904280132,0.243854452011487,0.242525561627989,0.238611140480123,0.245420378267605,0.235165771241782,0.240891894735628,0.249144701576452,0.397043064196219,0.386264365734466,0.388721222000874,0.381675659920076,0.394441870517722,0.376963303722878,0.379199791488501,0.373196870332877,0.383561650567494,0.381471422627372,0.37531438171995,0.38602471513125,0.36989511829879,0.378901807988218,0.39188274882227,0.400586053362632,0.389711171853442,0.392189951724417,0.38508151900722,0.39796164809362,0.380327112391666,0.382583557317202,0.376527069466831,0.386984339175248,0.384875459215698,0.378663476335479,0.389469382742927,0.373195854453179,0.382282914779629,0.395379690234386
"4",4,1.97651808238944,1.89658074999148,1.91470445618444,1.86288509880404,1.95712644626823,1.82849165873108,1.84478817368846,1.80115613058476,1.87670987551057,1.86139003474904,1.81650743940999,1.89481597596102,1.77730626044652,1.84261408852019,1.93811074632137,0.716016572605192,0.687058347898443,0.693623870423536,0.674851707903647,0.708991727775071,0.662392285801435,0.66829588713408,0.65248967405805,0.679859893420711,0.674310103629938,0.658050863519446,0.686419038061626,0.643849782308204,0.667508299595869,0.702103070179193,0.250704334159739,0.240564970461579,0.242863806851742,0.236290966661516,0.248244671753737,0.231928454337555,0.233995527220883,0.228461177491525,0.238044520787834,0.236101330633506,0.230408359099323,0.240341124040849,0.225436026410907,0.23371976319961,0.245832693620961,0.394335913991041,0.3783875847984,0.382003452677465,0.371664951938669,0.390467080904326,0.364803102939002,0.368054427163073,0.35934938077372,0.374423138674658,0.371366671110451,0.362412126543916,0.378035494024987,0.354591083633246,0.367620674560674,0.386673250994274,0.397854746070443,0.381764102951059,0.385412236802956,0.374981481093812,0.393951389691549,0.368058400810036,0.371338738024236,0.362556012693146,0.37776428033813,0.374680538575117,0.365646088685331,0.381408870317459,0.357755255183157,0.370901114857382,0.390123705775515
"5",5,1.96304163155882,1.85790529240213,1.88161507970804,1.81402476872445,1.93740448860558,1.76950759985261,1.79056652916094,1.7343241373517,1.83199650155521,1.81208389368173,1.754061011418,1.85560060141567,1.70377201985892,1.78775350208372,1.91234644882749,0.711134572171906,0.673047715345265,0.681636860466294,0.657151487302752,0.701847220139903,0.641024627163348,0.648653468265501,0.628279010284482,0.663661955716837,0.656448382834182,0.635428921559673,0.672212814336396,0.617211151787299,0.647634416618862,0.692769654941805,0.248994962177549,0.235659321011845,0.238666703788942,0.230093453656919,0.245743110898718,0.224446833329925,0.227117977549349,0.219984113449791,0.232373013532024,0.229847270336055,0.222487566322433,0.235366990764856,0.216108839885919,0.226761169237475,0.242564713881313,0.391647221890018,0.370671428769569,0.37540177792808,0.361916807921414,0.38653234523462,0.353035169735667,0.357236645153707,0.346015703045085,0.365502355534141,0.36152958316454,0.349953414692454,0.370211618948092,0.339920237851409,0.356675416995231,0.381533005685563,0.395142061592158,0.373979092282312,0.378751652418254,0.36514635011781,0.389981542652051,0.356185457184381,0.36042442420782,0.349103352717997,0.368763893142353,0.364755669984826,0.353076202291111,0.373515179376401,0.342953495018588,0.359858187964668,0.38493759180649
"6",6,1.94965706692373,1.82001851255283,1.84909754440122,1.76644596258694,1.9178812690545,1.7124262672924,1.73793855634988,1.66997194875282,1.78834844186956,1.76408381716917,1.69376131637319,1.81719683370721,1.63328018375677,1.73452629290347,1.88692464931863,0.70628585857742,0.659322790439976,0.669857006597304,0.63991551359588,0.694774707687963,0.620346253176457,0.629588375438331,0.604966684467302,0.647849940448449,0.639059799053677,0.61358465847915,0.658300604590005,0.591674667536423,0.62835224347501,0.683560313567206,0.247297245169668,0.230853708556182,0.234542133864564,0.224058490952,0.243266758265359,0.217206556805281,0.220442571440327,0.211821591316474,0.226836632236879,0.223758873104115,0.214839068172611,0.230495802841832,0.207167556225958,0.220009755144372,0.239340177067916,0.388976862040656,0.363112622152436,0.368914191439394,0.352424341258952,0.382637259885127,0.341646850221916,0.34673681722658,0.333176772131898,0.356794113670111,0.351953068680879,0.337922998390807,0.362549667876181,0.325856383406604,0.346056035180158,0.376461092286975,0.392447872952244,0.366352835122981,0.37220617435377,0.355569178017625,0.38605169974994,0.344695514707532,0.349830901717181,0.336149854400829,0.359977943821967,0.355093700067921,0.34093843331549,0.365784857359146,0.328764142640614,0.349144044754377,0.379820419503152
"7",7,1.9363637619785,1.78290432756788,1.81714196786791,1.72011506818279,1.89855478493161,1.65718628230657,1.68685741437537,1.60800755150636,1.74574031490906,1.71735520902143,1.63553455562133,1.77958787570785,1.56570487574589,1.68288383005083,1.86184079479388,0.701470204862795,0.645877746974533,0.658280728804115,0.623131610371026,0.687773464923995,0.600334928679746,0.611083640001187,0.58251936372925,0.632414652856997,0.622131819417838,0.592491339860455,0.644676323868321,0.567194729373553,0.609644163047062,0.674473396678075,0.245611103669233,0.226146093120008,0.230488843581588,0.218181815126916,0.24081535983048,0.210199839397402,0.213963367530714,0.203961939997473,0.221432157471583,0.217831750708286,0.207453503924735,0.225725429700457,0.1985962090921,0.213459352504904,0.236158505671728,0.386324709448557,0.355707956246025,0.362538721570614,0.343180845966058,0.378781425299683,0.330625898699983,0.336545598138984,0.320814230427475,0.348293349200451,0.342630225359763,0.326306154039925,0.355046289607564,0.312374406649032,0.335752826739422,0.371456602427475,0.389772054040925,0.358882094139449,0.3657738133749,0.346243198967589,0.382161457863636,0.333576218408,0.33954874191792,0.323676996321993,0.351401323307615,0.345687664932452,0.329217926774295,0.358214523159764,0.315161860299338,0.338748896271926,0.374771272388673
"8",8,1.92316109448913,1.7465469825368,1.78573863849683,1.6749993548947,1.87942305373455,1.60372824612609,1.63727763909526,1.54834234648825,1.70414734385475,1.67186438946297,1.57930946749882,1.74275727792547,1.50092542744003,1.63277893049741,1.83709039277771,0.696687385616562,0.632706877550103,0.646904508943029,0.60678792058291,0.680842773663554,0.580969135781012,0.593122792041889,0.560904952011239,0.617347117252782,0.605652243037805,0.572123150340413,0.631334013152269,0.543727623777866,0.591493082736378,0.665507276823107,0.24393645875121,0.221534476328315,0.226505601105578,0.212459274584125,0.238388664130696,0.20341914688286,0.20767459908476,0.196393921455245,0.21615644650956,0.212061631158458,0.200321834649146,0.221053784864012,0.190379492736476,0.207103976557371,0.233019129860833,0.383690639971569,0.348454287781841,0.356273430754283,0.334179791944175,0.374964445948448,0.319960464497675,0.326653917321718,0.308910401485097,0.339995118892091,0.333554333735689,0.315088664196771,0.347698202297484,0.299450232980636,0.325756378168133,0.366518639811473,0.387114479608272,0.351563698014458,0.359452614624422,0.337161824598213,0.378310417933816,0.322815611864852,0.329568793300171,0.311666944300092,0.343029044255594,0.336530785152182,0.317900338356017,0.350800865648159,0.302122358568519,0.328663245011598,0.369789246169424
"9",9,1.91004844646422,1.71093104382645,1.75487801250997,1.63106695057421,1.86048411293864,1.55199467608606,1.58915510264036,1.49089102204956,1.66354534220541,1.62757857085785,1.5250172401181,1.70668893130896,1.43882616298479,1.58416581600628,1.81266901051537,0.69193717696417,0.619804591154286,0.635724889669907,0.590872898176522,0.673981922959338,0.562228050718989,0.575689845728619,0.540092544180146,0.602638571795551,0.589609192212629,0.552455162015585,0.618267836751457,0.521231445831044,0.573882418846312,0.656660348185538,0.242273232028699,0.217016900557362,0.222591195890305,0.206886826615479,0.235986422236613,0.196857188079573,0.201570668861456,0.189106714640226,0.211006431500974,0.206444355624761,0.193435332149215,0.216478825037788,0.18250273467098,0.200937820725802,0.229921487378383,0.381074530313976,0.341348537589556,0.350116414907431,0.325414820368201,0.371185930287338,0.309639079225505,0.31705297080593,0.29744826474353,0.331894597286491,0.324718852334285,0.304256800174103,0.340502192022701,0.28706078386539,0.316057556231916,0.361646320058292,0.38447502525835,0.344394540100893,0.3532406570284,0.328318639341815,0.374498184922475,0.312402124351138,0.319882173333415,0.300102525891973,0.334856238147684,0.327616460880298,0.306971816866326,0.343540642221846,0.289622352972247,0.318877876239167,0.364873448573013
"10",10,1.89702520412598,1.67604139252944,1.72455071106221,1.5882868190255,1.84173601979556,1.5019299438155,1.54244697413898,1.43557143203462,1.62391069971307,1.58446583407796,1.47259142715116,1.67136706020233,1.37929619249671,1.53700007130686,1.78857227417897,0.687219356557507,0.607165410787732,0.624738473389443,0.575375299930378,0.667190209028261,0.544091521471844,0.558769285081924,0.520052381839443,0.58828046339945,0.573991103868379,0.533463303933897,0.605472079751756,0.499666024388184,0.556796081430555,0.647931026295549,0.240621345649262,0.212591448103667,0.218744438309857,0.201460534546235,0.233608387727301,0.190506907006706,0.195646144132783,0.182089900018465,0.205979117688752,0.200975875440082,0.186785568279222,0.211998549215389,0.174951869466792,0.194955251314789,0.226865023441894,0.378476258020727,0.334387689289902,0.344065802852908,0.316879739194279,0.367445490717857,0.299650644444902,0.30773421338726,0.286411431190367,0.32398707389362,0.316117412957519,0.293797305238418,0.333455111375775,0.275183935618245,0.306647499622351,0.35683877054378,0.381853567443387,0.337371577103015,0.347136052712351,0.319707395900218,0.370724367772405,0.30232455839206,0.310480260560689,0.288967205838889,0.326878152460089,0.31893826709255,0.296418987276078,0.336430677387691,0.277639522406142,0.309383849572876,0.360022999188479
