"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,1.68688567440181,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.282913019851227,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.226099339480439,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.832617085436961,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065,0.517652037045065
"2",2,1.67538401800387,1.65248636113307,1.65773339715472,1.64264151199441,1.66988693223278,1.63246958589244,1.63730506850866,1.62429369247298,1.64669493902832,1.6422019587518,1.62889527892539,1.65197365424994,1.61709249368456,1.63666162698705,1.6644610402905,0.280984040078496,0.277143800427914,0.278023797708513,0.27549268912733,0.280062106150501,0.273786722697665,0.27459769703348,0.2724155173265,0.2761725024071,0.275418970239833,0.273187264184698,0.277057812708173,0.271207781125585,0.274489783387203,0.279152112368426,0.224557731205517,0.221488676098404,0.222191955162735,0.220169135645062,0.223820937076092,0.218805755892777,0.219453872977526,0.217709911562688,0.220712431014101,0.220110220746841,0.218326678705382,0.221419956155267,0.216744709051198,0.219367630201717,0.223093685310985,0.826940070228954,0.81563818971837,0.818228034368681,0.810778945419373,0.824226805422349,0.805758261686726,0.808144970818056,0.801722784562786,0.812779645676791,0.810561989673465,0.803994046663433,0.815385126622753,0.798168399557418,0.807827379405367,0.821548680636874,0.514122541268242,0.507095972187362,0.508706122137816,0.504074898330158,0.512435658932115,0.500953454863501,0.502437312047405,0.498444530905305,0.505318767308928,0.50394001329623,0.499856612729744,0.506938638607211,0.496234710003653,0.502239860127907,0.510770623737774
"3",3,1.66396078310296,1.61878852560601,1.6290849212509,1.5995577992469,1.65305948634051,1.5798088686768,1.58918172585394,1.56402418933523,1.607461764226,1.59870186477491,1.57289843050349,1.61778417811487,1.55018693490195,1.58793291205213,1.64233450831063,0.279068212627158,0.271492228091934,0.273219069708816,0.268266981146779,0.277239921099072,0.264954824507356,0.266526776518603,0.262307525186677,0.269592580524952,0.268123429624624,0.263795852704006,0.271323785745183,0.259986834758408,0.26631733394092,0.275441200552496,0.223026634045217,0.216972034294987,0.218352097146706,0.214394471041291,0.221565494126329,0.211747451017881,0.213003728695115,0.209631773810353,0.215453867826841,0.214279747072921,0.210821220194883,0.216837417997155,0.207777116950636,0.212836345700518,0.220127986839798,0.821301762491926,0.799005531069454,0.804087650778245,0.789513582933941,0.81592107423571,0.779765858318518,0.784392135690763,0.771974818352165,0.793414840964738,0.789091108740105,0.776354987636371,0.798509802820927,0.765144993052492,0.783775743173061,0.810627413803281,0.510617110576741,0.496755168735595,0.499914807981266,0.490853865034512,0.507271846246652,0.484793540796654,0.487669775199677,0.479949720294021,0.493279342726482,0.490591205727055,0.482672945162006,0.496446966151047,0.475703503106222,0.487286553610799,0.503980688577417
"4",4,1.65261543499946,1.5857778631449,1.60093154013917,1.55760409952448,1.63640161057289,1.52884689743574,1.5424728148484,1.50599098929052,1.56916333572585,1.55635403965626,1.51882659658299,1.58430229212532,1.48604952563058,1.54065500870835,1.62050211563808,0.277165447821023,0.265955903760129,0.268497375648448,0.261230791283699,0.274446175198423,0.256407828465973,0.258693074883058,0.252574590628381,0.263169427950386,0.261021139724213,0.254727291594334,0.265708431000423,0.249230143645459,0.258388204770998,0.271779619785465,0.221505976331833,0.212547496763174,0.21457859846206,0.208771266137756,0.21933277926879,0.204916835161054,0.206743165761621,0.201853375785425,0.210320592040328,0.208603716128407,0.203573778284952,0.212349720685076,0.199180549861176,0.206499518682387,0.217201712915341,0.81570189830756,0.78271204895398,0.790191637265203,0.768805974993311,0.807699039878744,0.754611926071215,0.761337439136323,0.74333065199694,0.774511410579084,0.768188967439158,0.749666081893492,0.781983733063746,0.733487896436299,0.760440202012795,0.799851328955931,0.507135580888106,0.486625237035712,0.491275422809321,0.477979597114376,0.502160069287013,0.4691549183191,0.47333628283734,0.462141160606037,0.481526762317761,0.477595993147,0.466080003861679,0.486172430804869,0.456021754032211,0.472778455436449,0.497281015498196
"5",5,1.64134744263949,1.55344036077782,1.5732646977325,1.51675077449388,1.61991159617226,1.47952887348747,1.49713676280029,1.45011111419461,1.5317773828181,1.51512796108197,1.4666136005676,1.55151335189738,1.42456573649715,1.49478472159799,1.59895995212859,0.275275656595338,0.260532477271929,0.263857280558546,0.254379148797928,0.271680581867311,0.248136544110411,0.251089619837053,0.243202797120265,0.256899309591063,0.254106981543213,0.245970482165959,0.260209292417188,0.238918499697329,0.250695151445119,0.268166714284469,0.219995686886307,0.20821318529406,0.210870312305753,0.203295548402306,0.217122563472555,0.198306563458357,0.200666612040004,0.194363595629508,0.205309618631424,0.203078036898058,0.196575483088949,0.207954901379712,0.190939656999986,0.200351359518543,0.214314339446951,0.810140215557005,0.766750826815594,0.776535770695554,0.748641492637714,0.799559858938733,0.730269417279752,0.738960361605624,0.715749328945254,0.756058362089377,0.747840500493587,0.723894665831359,0.765799689141007,0.703140580025514,0.737799435456089,0.78921849611642,0.503677789238644,0.47670187694837,0.482785341028589,0.465442999499572,0.497099803689336,0.454020771442838,0.45942407761181,0.444993388464644,0.470054191903985,0.464945009220107,0.45005748131748,0.476110538668899,0.437154317327318,0.458702310311238,0.490670404600098
"6",6,1.63015627859006,1.52176229128822,1.54607598580772,1.47696896318526,1.60358775160009,1.43180176586329,1.45313321891409,1.39630466481169,1.49528216540169,1.47499391524014,1.41619554082673,1.51940301612933,1.36562577666484,1.45028014142896,1.57770415961744,0.273398750492618,0.255219646391712,0.259297374268968,0.247707213323425,0.268942857412374,0.240132077446415,0.243709644018944,0.234178744504612,0.250778579344737,0.247375971682699,0.237514707270967,0.254823964769661,0.22903348953979,0.243231145221167,0.264601836984296,0.2184956950149,0.203967259979558,0.207226111693464,0.197963449495602,0.214934620014646,0.191909527978779,0.194768659168363,0.187151724161349,0.200418033696379,0.197698726733051,0.189817769642044,0.20365103786494,0.183039722707275,0.194386250956198,0.211465349310966,0.804616453908609,0.751115089141759,0.763115900918295,0.729005890600292,0.791502696502031,0.706712156791144,0.717240986656033,0.689191412340265,0.738044964964275,0.728031041688702,0.699009198729556,0.749950592438546,0.674048852995018,0.715832757813828,0.778727010962536,0.500243573775791,0.466980876023539,0.474441982420434,0.453235215668253,0.492090530373772,0.439374826635293,0.445920777135937,0.428481885313072,0.458854960133456,0.452629135714188,0.434585768133375,0.46625688884973,0.419067501644703,0.445045257594549,0.484147671933994
"7",7,1.61904141901433,1.49073020738773,1.51935714145017,1.43823056160329,1.5874284023635,1.38561425428416,1.41042301837678,1.34449470657132,1.45965646134224,1.43592297540455,1.3675107124885,1.48795724032906,1.30912439778112,1.40710060668447,1.55673093122847,0.271534641658504,0.250015155831509,0.25481627097973,0.241210271448776,0.266232720999024,0.232385821384991,0.236546578972021,0.225489529837266,0.244803677979025,0.240823258748414,0.22934961818691,0.249550092610913,0.219557461633263,0.235989366625432,0.261084349421509,0.217005930505885,0.199807918431357,0.203644889117094,0.192771202538309,0.212768724456773,0.185718850081186,0.189044057746285,0.180207449564429,0.195642992756381,0.19246190848048,0.183292367418863,0.199436247707088,0.175466640168724,0.188598742986362,0.208654232258117,0.799130354805737,0.735798198587556,0.749927949504149,0.709885297243478,0.783526726068411,0.683914813818726,0.696159983225013,0.663618928631786,0.720460744331699,0.708746313301445,0.674979224149117,0.734429510842185,0.64616076661002,0.694520099276828,0.768374994487194,0.49683277375054,0.457458107712318,0.466242811356822,0.441347621390181,0.487131735491239,0.425201335320622,0.432814362963214,0.41258304235689,0.447922554602136,0.440639495928829,0.419645929029332,0.456607171535458,0.401729009582764,0.431794819548669,0.477711649289596
"8",8,1.60800234364715,1.46033093600777,1.49310004454252,1.40050820287294,1.57143189084346,1.34091667397676,1.36896814749968,1.29460715956434,1.42487955413138,1.39788698108558,1.32049953192134,1.4571622706712,1.2549607060371,1.36520666647271,1.53603651069228,0.269683242837656,0.244916796293639,0.25041260883985,0.234883733387388,0.263549894622646,0.22488944648733,0.229594049298341,0.217122728938491,0.2389711310617,0.23444411985411,0.22146522195138,0.244385369242672,0.210473494752683,0.228963199222013,0.257613621620088,0.215526323626255,0.195733395015814,0.200125556208183,0.18771513944998,0.21062465462231,0.179727873017811,0.183487712662684,0.173520842642726,0.190981719103478,0.187363807688885,0.176991290211483,0.195308687431592,0.168206886225123,0.182983547864457,0.205880484822137,0.793681661454661,0.720793653158142,0.736967908506092,0.691266204759333,0.775631129466287,0.661852874704311,0.675698588424741,0.638995313280212,0.703295474887646,0.689972415809677,0.65177533265798,0.719229655705739,0.619426521461841,0.673841987579095,0.758160592661911,0.493445229509914,0.448129529615227,0.45818533602972,0.429771818634116,0.482222910370709,0.411485056945494,0.420093169890908,0.397274126807233,0.437250618066653,0.428967448297487,0.405219679667111,0.447157166110645,0.385107880012075,0.418938889938529,0.471361183986233
"9",9,1.59703853577068,1.43055157270765,1.467296715297,1.36377523790614,1.55559657612475,1.29766096226963,1.32873170988483,1.24657069262054,1.39093122083992,1.36085851773354,1.27510446381177,1.42700463798144,1.20303798200274,1.32456004448264,1.51561719167346,0.267844467369662,0.239922403532868,0.246085049533465,0.22872312973502,0.260894103080073,0.217634892008279,0.22284586698438,0.209066378628399,0.233277546940293,0.228233957217515,0.213851869131967,0.239327535706413,0.201765367771479,0.222146223567726,0.254189031978607,0.214056805118465,0.19174196010444,0.196667043407144,0.182791688357719,0.208502190573503,0.17393015477635,0.178094678560957,0.167082342623559,0.186431502185913,0.182400749887803,0.170906826355398,0.191266551716695,0.16124749722423,0.177535535279179,0.203143610229594,0.788270118812547,0.706095083448668,0.724231839241296,0.673135459626906,0.767815096768788,0.640502616559007,0.655838590842437,0.61528535847511,0.686539174950128,0.671695817874064,0.629369125837822,0.70434437888179,0.593798378541739,0.653779530207031,0.748081976104755,0.490080782489498,0.438991181766209,0.450267107693811,0.418499629634992,0.477363551467032,0.398211242591139,0.407745875577588,0.382533249376563,0.42683294474754,0.417604580159058,0.391289364272704,0.437902739310296,0.369174432788481,0.406465722970873,0.465095138666409
"10",10,1.58614948219021,1.40137947619666,1.44193931183026,1.32800571657535,1.53992083382767,1.25580060691208,1.28967789358582,1.20031662131651,1.35779172035817,1.32481089697948,1.23126995074886,1.3974711518454,1.1532635079161,1.2851236040129,1.49546931710684,0.266018229184987,0.235029857437684,0.241832277873105,0.222724108312353,0.258265073941361,0.210614357228737,0.216296025893467,0.201308959621522,0.227719614769829,0.222188294846472,0.206500242016673,0.234374379795333,0.193417530695709,0.215532211346991,0.250809967158907,0.212597306197184,0.187831919339683,0.193268299638214,0.177997371072826,0.206401114588912,0.168319461152957,0.172860155437433,0.160882743487222,0.181989696031923,0.177569157939389,0.165031529291486,0.187308072603829,0.154576045871745,0.172249727665199,0.20044311831092,0.782895473575513,0.691696249940474,0.711715871094127,0.65548025331989,0.760077826210672,0.619841081754333,0.63656231433152,0.592455162793707,0.670182100654778,0.653903346585323,0.607733181528244,0.689767169813902,0.569230573993948,0.634314397138328,0.738137339752703,0.486739275206009,0.430039184951638,0.442485719922297,0.407523091116711,0.472553160309282,0.385365619114046,0.395761490465812,0.368339332980512,0.41666347672054,0.406542701694423,0.377837934028069,0.428839843412041,0.35390021575363,0.394363922562731,0.458912391092102
