"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.505113818991176,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.568862824050444,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,0.347372502994929,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.60774957524913,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791,1.76951589998791
"2",2,0.501669812277474,0.494813436007599,0.49638458599334,0.491865536561133,0.500023788466085,0.488819698590112,0.490267614787406,0.486371544093673,0.493079277385525,0.491733918621405,0.487749423425786,0.494659913255173,0.484215247981536,0.490074945414956,0.498399082629769,0.564984158863421,0.55726245848424,0.559031898923784,0.553942512877758,0.563130394981706,0.550512268198934,0.5521429218576,0.547755138957573,0.555309436543414,0.553794283805271,0.549306916593813,0.557089560053793,0.545326702732468,0.551925936221494,0.561300639557188,0.345004020511398,0.34028881277644,0.341369310443713,0.338261508888098,0.343872031264909,0.33616685156547,0.337162599958545,0.334483227948035,0.339096212220899,0.33817099373796,0.335430811194474,0.340183233438137,0.333000318652131,0.337030099045598,0.342754702631693,1.59678749081801,1.57496402129255,1.57996490550371,1.56558101907654,1.59154828732741,1.55588628390979,1.56049492173293,1.54809394245365,1.56944428953463,1.56516208639496,1.55247965677715,1.57447536679386,1.54123057022336,1.55988166569029,1.58637693778195,1.75745084769587,1.73343157447528,1.73893563074241,1.72310448631027,1.7516844932694,1.71243429967932,1.71750664305349,1.70385791918011,1.72735646597599,1.72264340203913,1.70868490924605,1.73289375321359,1.69630397764842,1.71683168326191,1.74599282002255
"3",3,0.49824928776085,0.484723100513556,0.487806209111226,0.478964734205376,0.494985050164198,0.473051199048472,0.4758577672442,0.468324702294863,0.481331463614696,0.478708436854282,0.470981967049179,0.484422363003872,0.464181334112177,0.475483827789846,0.4917736086934,0.561131939496018,0.545898649914874,0.549370869042094,0.539413536269536,0.557455731584479,0.532753670348234,0.535914447681352,0.527430655633465,0.542078963990832,0.539124892345219,0.530423286354614,0.545559957163607,0.522764364518739,0.535493314372324,0.553838983050457,0.342651687001164,0.333349574599142,0.33546986335449,0.329389480769936,0.34040683377861,0.325322675563329,0.327252784347371,0.322072210131641,0.331017107431326,0.329213222174321,0.323899641245425,0.333142754002366,0.319222768832799,0.326995621942892,0.338198289050689,1.58590014893195,1.54284703697194,1.55266040249864,1.52451847291761,1.57551025973824,1.50569601493037,1.51462916752874,1.49065183505977,1.53205164278844,1.52370269250958,1.49910976299492,1.5418898059771,1.47746372143991,1.51343893875989,1.56528841771672,1.74546805829099,1.69808308781423,1.70888384099074,1.67791036563326,1.73403277358595,1.65719405558223,1.66702603178249,1.64063618121353,1.68620149757878,1.6770125041596,1.6499451172522,1.69702954347412,1.62612112420437,1.66571604622035,1.72278244439122
"4",4,0.494852085333142,0.474838529178232,0.479376081292456,0.466402298108387,0.489997087213924,0.457791364723294,0.461871451053986,0.450947489512936,0.469863546271731,0.466027985537247,0.45479092876727,0.474396690514118,0.444976303072505,0.46132713497168,0.485236210570995,0.55730598563327,0.534766574424302,0.539876798324192,0.525265630181044,0.551838251754253,0.515567934931017,0.52016295756786,0.507860313335177,0.529163712812939,0.524844076665202,0.512188822328761,0.534268972535792,0.501135520122789,0.519549944872276,0.546476518160304,0.340315392356028,0.326551842767847,0.329672368827767,0.320750150966129,0.336976555077578,0.314828314400508,0.317634236051906,0.310121703785983,0.323130490590154,0.320492731965004,0.312764880558604,0.326247985306612,0.306015251137737,0.317259903707746,0.333702446206022,1.57508703997545,1.51138498868027,1.52582776812924,1.48453292799752,1.55963384730771,1.45712479942953,1.47011149038613,1.4353411200907,1.49554989101699,1.48334151161841,1.44757457638575,1.50997864045171,1.41633516123076,1.46837896215739,1.54448023813549,1.73356697088199,1.66345543463033,1.67935139770095,1.63390161041725,1.71655893023182,1.60373576864898,1.61802913652773,1.57976028916902,1.64602706299559,1.63259031775153,1.59322463446206,1.66190758439939,1.55884201500809,1.61612228716815,1.69988061615526
"5",5,0.491478045977853,0.465155526017355,0.471091640538986,0.454169353494632,0.485059387952191,0.443023786932082,0.448296217868059,0.434215059127898,0.458668856710715,0.453683425199407,0.439156492943601,0.464578510734339,0.426565860677679,0.447591932727609,0.478785717425708,0.55350611818965,0.523861506464793,0.530546801429413,0.511488799776104,0.546277379252385,0.498936582370773,0.50487443209708,0.489016129620168,0.516556172732632,0.510941543827217,0.494581208003636,0.523211667693657,0.48040154718644,0.504081261095081,0.539211926281835,0.337995027218541,0.319892731656574,0.323975064948429,0.312337416192875,0.333580843285312,0.304672483639926,0.308298394201542,0.298614621608648,0.315431775593942,0.312003237792201,0.302012901696041,0.319495911701167,0.29335418106702,0.307814049321513,0.32926636889991,1.56434765780774,1.48056452082982,1.49945884769627,1.44559613639263,1.54391742144034,1.41012040947104,1.42690226789412,1.3820827121181,1.45991780828618,1.44404945328701,1.39781102486588,1.4787279128391,1.35773573308692,1.42466056692922,1.5239486723288,1.72174702840191,1.62953391554177,1.65032932567558,1.59104713052806,1.69926117074773,1.55200195594504,1.57047234820521,1.52114320030993,1.60680980061063,1.58934482539934,1.53845404269212,1.62751251426656,1.49434651059183,1.56800509487082,1.67728323363631
"6",6,0.488127011762703,0.455669980612014,0.462950369128493,0.442257258358958,0.480171445871949,0.428732586308778,0.435119985217091,0.418103486454903,0.447740885168923,0.441665858464234,0.424059525147685,0.454963529366596,0.408917131629907,0.434265671918768,0.472420973985226,0.549732159300687,0.513178816852939,0.521378042880729,0.498073312366214,0.540772543646987,0.482841729210982,0.490035263904957,0.4708711603359,0.504249012408208,0.497407273541683,0.477578894045694,0.51238320636791,0.460525421312339,0.489073130110086,0.532043906339042,0.335690482976882,0.313369414483612,0.318376220250273,0.304145333245199,0.330219350071171,0.29484426286142,0.299236949545065,0.287534510322481,0.307916485605022,0.303738620829151,0.291630545692843,0.312883579948626,0.281216949905441,0.298649428599047,0.324889262638481,1.55368149973902,1.45037255018268,1.47354562742772,1.40768059107463,1.52835936995198,1.36463230190391,1.38496304221566,1.33080046018261,1.42513467437838,1.40579819765399,1.3497582045928,1.44812395462451,1.30156079673909,1.38224380985482,1.50369004312828,1.71000767758202,1.5963041309195,1.62180880482395,1.54931665127322,1.68213772073704,1.5019369888385,1.52431333948042,1.46470110162489,1.56852690540804,1.54724485779298,1.4855663101612,1.59382928928118,1.43251944213629,1.52132050715606,1.65498624968175
"7",7,0.484798825832238,0.446377866363789,0.454949792849215,0.430657597361407,0.475332759570224,0.414902395728907,0.422331025757268,0.402589734535796,0.43707327698137,0.429966623636759,0.409481548737057,0.44554754098834,0.391998600813439,0.421336177034779,0.466140840334863,0.545983932314637,0.502713970804574,0.512367736203016,0.485009690534855,0.535323180254413,0.467266068885287,0.475632245572354,0.453399461094039,0.492235075170152,0.484231510945286,0.461161071927001,0.50177885238136,0.441471649949952,0.474511839769739,0.524971174551789,0.333401651759777,0.306979122111554,0.312874133189805,0.296168114798356,0.32689173061464,0.285333083919173,0.290441837055108,0.276865527150043,0.3005802504482,0.295692924329969,0.2816051059524,0.3064080979322,0.269581884350413,0.28975766830375,0.320570343489474,1.543088066507,1.420796260297,1.44808023204328,1.37075950647811,1.51295809690445,1.32061156401396,1.34425648585877,1.28142103891023,1.39118026274356,1.36856017501945,1.30335730542716,1.41815338017869,1.24771004130274,1.34108993695259,1.483700722248,1.69834836892593,1.56375197477462,1.59378116748169,1.50868069201431,1.66518682368366,1.45348703318331,1.47951102709535,1.41035328998878,1.53115611571075,1.50626007126258,1.43449670945264,1.56084317699721,1.37325040581499,1.47602587074773,1.63298567093979
"8",8,0.481493332400489,0.437275238785471,0.447087480248008,0.419362175882179,0.470542832696673,0.401518343785528,0.409917956832521,0.387651621199969,0.426659828885541,0.418577288460627,0.395404722244368,0.436326427213028,0.375780057018418,0.408791635069625,0.459944191713401,0.54226126178422,0.492462526009768,0.503513143076218,0.472288705442135,0.52992873008133,0.45219285310799,0.461652557869951,0.436576050174148,0.480507374859503,0.471404759570138,0.44530764845842,0.491393967577394,0.423206209016959,0.46038408618151,0.517992464205884,0.331128426431448,0.3007191418718,0.307467131629118,0.288400125319354,0.323597643569959,0.276128719577942,0.281905228749973,0.266592417160988,0.29341880406948,0.287860349336312,0.271924312695235,0.300066633390745,0.258428207810219,0.281130644497386,0.31630883794184,1.53256686225348,1.39182309608636,1.42305492236097,1.33480679957779,1.49771202244185,1.27801086092875,1.30474636845363,1.23387384366884,1.35803482873744,1.332308545974,1.25855153895718,1.38880308090319,1.19608730615428,1.30116134807246,1.46397712963471,1.68676855668388,1.5318636287704,1.56623789577652,1.46911054534029,1.64840674077194,1.40659999143226,1.43602553530291,1.35802205677017,1.49467570023515,1.46636092590815,1.38518273829672,1.5285397498734,1.31643356564764,1.43207980229579,1.61127755714434
"9",9,0.478210376743679,0.428358233826626,0.439361041891412,0.408363014232513,0.465801173902677,0.388566038798222,0.397869730343524,0.373267787347426,0.416494485414166,0.407489644040529,0.381811817541845,0.427296154888819,0.360232538993093,0.39662058472872,0.453829918311648,0.538563973458403,0.482420130747069,0.494811572503148,0.45990137030505,0.524588639767382,0.437605873864861,0.44808375834865,0.420376872803844,0.469059091765371,0.458917774499166,0.429999221198265,0.481224009791337,0.405696482142874,0.446676961552817,0.511106525426215,0.328870700586598,0.294586816413038,0.302153572327717,0.280835877085715,0.320336751031109,0.267221272515851,0.273619526726435,0.256700491459964,0.286427982055331,0.280235250497758,0.262576317942454,0.293856412679992,0.247736003303515,0.272760475117658,0.31210398276721,1.52211739450116,1.36344075849023,1.39846209294519,1.29979707146212,1.48261958262848,1.23678438471903,1.26639752450618,1.18809088961491,1.32567909813992,1.29701718205422,1.2152860689973,1.36006021949696,1.14660040921823,1.26242156254253,1.44451573282664,1.67526769882716,1.50062555635643,1.5391706190396,1.430578256787,1.63179575070825,1.36122544661718,1.39381816037598,1.30763257672052,1.45906444545427,1.42751866430866,1.33756404307636,1.49690487896287,1.26196746451007,1.38944215056653,1.58985802040926
"10",10,0.474949805192981,0.419623066233319,0.431768129639473,0.397652342017405,0.461107296790934,0.37603155333792,0.386175622914477,0.359417666408703,0.40657133537394,0.396695698925614,0.368686198756403,0.41845277433454,0.34532828372808,0.38481190595732,0.447796925073673,0.534891894274244,0.472582522036212,0.486260379991662,0.447838934048735,0.519302361528421,0.423489445984889,0.434913770265324,0.404778766764342,0.457883568659246,0.446761555702818,0.415217054706347,0.471264530863781,0.388911202426399,0.433377942397848,0.5043121249529,0.326628368545431,0.288579542573199,0.29693184044312,0.273470026308654,0.317108718497149,0.258601164681948,0.265577356397314,0.247175606183858,0.279603719211063,0.272812132002907,0.253549681015429,0.287774719559396,0.237486177893822,0.264639512776781,0.307955024883198,1.5117391741306,1.335637199253,1.37429426979527,1.26570558939009,1.46767922928842,1.19688780514214,1.22917582209955,1.14400671448611,1.29409425594699,1.26266064691047,1.17350794447614,1.33191222434152,1.09916098235878,1.22483518583858,1.42531304632084,1.6638452570228,1.47002449702234,1.51257111126163,1.39305660508868,1.61535214954445,1.31731460813632,1.35285133615962,1.25911280098607,1.42430164326205,1.38970529079497,1.29158234496244,1.4659247277334,1.20975484296352,1.34807395975842,1.56872322453209
