"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.331947105595461,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.231561409430486,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.477598771914434,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.504140902515924,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819,0.322134012405819
"2",2,0.329683797768034,0.325177973195259,0.326210490363894,0.323240693611827,0.3286020755514,0.321239051485678,0.32219058275005,0.319630190732736,0.324038331170833,0.32315419787068,0.320535695668372,0.32507708220516,0.318213131396168,0.322063965662738,0.327534362929942,0.229982559241225,0.226839362415192,0.227559631177294,0.225487944724728,0.229227965762704,0.224091628672882,0.224755402861543,0.222969311119125,0.226044364932238,0.225427606570268,0.223600978019085,0.226768982347187,0.221980791407126,0.224667076647211,0.22848314517134,0.47434237045582,0.467859481326365,0.469345046114875,0.465072162701483,0.472786010440901,0.462192240553807,0.46356128446364,0.459877444290083,0.466219787465164,0.464947714381099,0.461180266450399,0.467714321413365,0.457838608019285,0.463379110363055,0.471249807147757,0.500703529417749,0.49386035944155,0.495428483183208,0.490918138041954,0.499060676067402,0.487878166760443,0.489323294078339,0.485434727735555,0.492129541039899,0.490786773615904,0.486809953088599,0.493707132394388,0.483282584936857,0.489130995812756,0.497439099630869,0.319937612981125,0.315564990583285,0.31656698425277,0.313684981284083,0.31888786887407,0.311742512141777,0.312665914030074,0.310181212883518,0.314459038906508,0.31360104254902,0.311059949083512,0.315467082154779,0.308806044966067,0.312543040024887,0.317851720207464
"3",3,0.327435921803802,0.318546878309706,0.32057301368109,0.314762636111034,0.325290753365629,0.31087642115241,0.312720821670077,0.307770295645686,0.316317986504576,0.31459420444144,0.309516577990045,0.318349241772889,0.305047386424145,0.312475078800106,0.323180281109793,0.228414474092331,0.222213608336055,0.223627010514855,0.219573776741263,0.226918036200162,0.216862810451755,0.21814943707457,0.214696023068824,0.220658766256809,0.219456281290493,0.215914203899767,0.222075740000261,0.212796561719522,0.217978010469642,0.225445801853521,0.471108172049398,0.458318796318411,0.461233958851218,0.452874105293104,0.468021747151122,0.447282697926243,0.449936384032576,0.442813667462001,0.455111911935579,0.452631769218489,0.44532618312797,0.458034440872383,0.4388960008268,0.449582814168805,0.464985242417216,0.497289593286814,0.483789459277277,0.486866629397247,0.478042184349378,0.494031643046432,0.472140039448619,0.474941201820286,0.467422646557128,0.480404355122707,0.47778638066111,0.470074793065691,0.483489301028081,0.463287259053284,0.474567982623114,0.490826387239535,0.317756189219499,0.309129925580097,0.311096163892947,0.305457553979849,0.315674436721507,0.301686224160757,0.303476100105522,0.29867192261798,0.306966924763696,0.305294101524238,0.30036658098041,0.308938131617958,0.296029508636456,0.303237621940208,0.313626354709693
"4",4,0.325203372484023,0.312051006049933,0.315032962262918,0.306506943740645,0.322012799364158,0.300848071806859,0.303529393911167,0.29635046259143,0.308781582181273,0.30626095566844,0.298876266653881,0.311760641660406,0.292426360772496,0.303171684141097,0.31888408032639,0.226857080584761,0.217682183568079,0.219762352281405,0.213814727396089,0.224631383791286,0.209867181721836,0.211737632510967,0.206729715808031,0.215401481654156,0.213643129741696,0.208491679502811,0.217479629648633,0.203992320203056,0.211488099446427,0.222448835494027,0.467896025308574,0.448972666885484,0.453263045084955,0.440995982330325,0.463305493329036,0.432854112012917,0.436711943946192,0.426383042973208,0.44426868604571,0.440642059674545,0.430017118697891,0.448554896483189,0.420737124759135,0.436197278374457,0.458803955749961,0.493898934323346,0.473923926942552,0.478452739127193,0.465503945177098,0.489053287576987,0.456909597596319,0.460981825137442,0.450078904600931,0.468958526515588,0.465130353581813,0.453914940879478,0.47348293931854,0.444119219460695,0.460438557480391,0.48430158101642,0.315589639012701,0.302826085721748,0.3057198886907,0.297445918199229,0.312493386315655,0.291954335079529,0.294556391351307,0.287589685174839,0.29965331327905,0.297207202080403,0.290040820863246,0.302544305148032,0.283781588515118,0.294209256275969,0.309457159156757
"5",5,0.322986045307368,0.305687598928852,0.309588652433732,0.298467784238821,0.318767877295886,0.291143220107812,0.29460811875609,0.285354363045027,0.301424735747649,0.298148445339226,0.288601739360904,0.30530840013072,0.280327517232836,0.294145281658596,0.314644991137506,0.225310305819927,0.213243164528903,0.215964481969624,0.20820672818929,0.222367773972267,0.203097220183193,0.205514282422944,0.199058998798357,0.210269453989455,0.207983962078576,0.201324320664342,0.21297864103504,0.195552345233258,0.205191414083904,0.219491709341297,0.464705779878949,0.439817125611015,0.445429882377672,0.429429402472947,0.458636765183375,0.418890967960908,0.423876193954241,0.410562077672757,0.43368380441055,0.428969944132446,0.415234336940162,0.439271542060965,0.403329553737357,0.42321027331317,0.4527048400881,0.490531393817135,0.464259574535131,0.470184255309753,0.453294562843583,0.484125098981525,0.442170464126352,0.447432739658281,0.43337870310487,0.457785399417327,0.452809570510959,0.438310619061053,0.463683670660384,0.425744238029417,0.446729811064792,0.477863512379865,0.313437860948689,0.296650795038588,0.300436524743573,0.289644414094991,0.309344391345745,0.28253638033638,0.285898848890361,0.276918654736594,0.292513951554339,0.289334515562033,0.280070031401104,0.296282806198551,0.272040413643569,0.285449694284723,0.305343386852848
"6",6,0.320783836485023,0.299453955690609,0.30423842961469,0.290639478314104,0.315555654298118,0.281751430566467,0.285949055933622,0.274766274352318,0.294243169164157,0.290250826339199,0.27868042148223,0.298989695087664,0.268729251050875,0.285387624398812,0.310462254329502,0.223774077396282,0.208894666862249,0.212232245369693,0.20274581733083,0.22012697454299,0.196545646192611,0.199473847794297,0.191672904147944,0.205259698965354,0.202474699440148,0.194403355508546,0.208570805506784,0.187461565651893,0.199082201428632,0.216573893779084,0.461537286431283,0.430848285982795,0.437732090154844,0.418166194471454,0.45401508379803,0.405378251400303,0.411417709755313,0.395328150124306,0.423351111873451,0.417607009882139,0.400959745733448,0.430180317230916,0.386642203278601,0.410609933434871,0.446686803090428,0.4871868141401,0.454792299553316,0.462058665072072,0.441405411989328,0.479246571728598,0.427906790258434,0.434281886185917,0.417298163466226,0.446878476603869,0.440815151209552,0.423242730035392,0.454087209027067,0.408129502783858,0.433429218408765,0.471511028282765,0.31130075430688,0.290601432129882,0.295244466385747,0.282047530268137,0.306227128789238,0.273422232938718,0.277495767183497,0.266643573445637,0.285544688018361,0.281670367708213,0.270442009699039,0.290150896100775,0.260785017952007,0.276950932810938,0.301284301028368
"7",7,0.318596642935839,0.293347430163906,0.298980667820909,0.283016495633259,0.31237580086241,0.272662604325303,0.277544498551398,0.264571057249054,0.287232706317274,0.282562406437288,0.26910017066943,0.292801762841572,0.257610851347081,0.276890710946467,0.306335120781356,0.222248323405935,0.204634844638012,0.208564508218518,0.197428136941738,0.217908755643223,0.190205414935895,0.193610952410479,0.184560870929138,0.2003693033866,0.197111371009896,0.187720313712082,0.204254195154676,0.179705533854587,0.193154879811219,0.213694866231601,0.458390396654505,0.422062340743158,0.430167328982356,0.407198401394404,0.449439975082931,0.392301432299449,0.39932540282878,0.380659478261103,0.413264599926866,0.406545067056856,0.38717587491277,0.421277245652321,0.370645274988895,0.398384746465328,0.440748766936789,0.483865038738911,0.445518083154451,0.454073498968046,0.429828093483445,0.474417205380999,0.414103238467218,0.421517559964964,0.401814293099092,0.436231415650161,0.429138450666199,0.408692832748503,0.44468935709624,0.391243559310578,0.420524627453586,0.465242991006062,0.309178219053431,0.284675429051027,0.290142135700061,0.274649899874355,0.303141278878695,0.264602092573664,0.269339667171194,0.256749749587973,0.278741470012778,0.274209234562857,0.26114497236339,0.284145892865836,0.249995302820464,0.26870520697893,0.297279174707974
"8",8,0.3164243622815,0.287365430138701,0.293813769167315,0.27559345091435,0.30922799080078,0.263866968298917,0.26938696623649,0.254754134214186,0.280389270591079,0.275077644183259,0.259849261993935,0.286741896900476,0.246952464133515,0.268646778114318,0.302262851330494,0.220732972431282,0.200461889568666,0.204960155855015,0.192249930328692,0.215712889729035,0.184069708852681,0.187920378073564,0.177712730078062,0.195595423465997,0.191890111153794,0.181267016137555,0.200026921969803,0.172270399991914,0.187404033746638,0.210854111069928,0.455264963248768,0.413455560272803,0.422733299855528,0.396518275007228,0.444910969725412,0.379646449341027,0.387588510565588,0.36653508824113,0.403418403218378,0.395776142730242,0.373865854888395,0.412558433279363,0.35531020335254,0.386523542887979,0.434889668135045,0.480565912127664,0.436432988448935,0.446226330227839,0.418554428490061,0.469636504544423,0.400744965990074,0.409128400263863,0.386904952558677,0.425838025241998,0.417771052866196,0.394643120098078,0.435486004413923,0.375056254590532,0.408004247946662,0.459058277954977,0.307070155836556,0.278870270223466,0.285127982038469,0.267446296832598,0.300086525068971,0.256066475069911,0.261423289616953,0.247223036586429,0.272100341435483,0.266945738493298,0.252167541080502,0.27826517001168,0.239652001188954,0.260704983098501,0.293327290580378
"9",9,0.314266892841735,0.281505416265826,0.288736163383026,0.268365100122293,0.306111901212235,0.255355064665172,0.261469198477595,0.245301468626351,0.273708882496677,0.2677911449137,0.250916373597318,0.280807446786347,0.236735056860819,0.260648293850337,0.298244716640405,0.219227953541665,0.196374030241648,0.201418092881358,0.18720753933009,0.213539151549451,0.178131930305611,0.182397059957854,0.171118689854492,0.190935283170731,0.186807156634137,0.175035564823361,0.195887137017748,0.165142887237897,0.181824408986384,0.208051119519665,0.452160839918558,0.405024291007581,0.415427743500422,0.386118270298465,0.440427603142069,0.367399694802112,0.376196586689136,0.352934784457883,0.393806796139971,0.385292475169852,0.361013395999742,0.404020066657937,0.340609604723021,0.37501548573893,0.4291084573306,0.477289279880601,0.42753315882901,0.438514774020353,0.407576452690356,0.464903978816653,0.387817608866874,0.397103380263401,0.372548823885455,0.415692261575744,0.406704764725658,0.381076397140015,0.426473125596661,0.359538683155199,0.395856640669384,0.452955781457959,0.30497646598188,0.273183491366827,0.280200481550781,0.260431632133097,0.297062554004747,0.247806202199535,0.253739588646296,0.238049812773324,0.265617440440104,0.259874644314349,0.24349872869121,0.272506155414287,0.229736643152517,0.252942951781798,0.289427940869878
"10",10,0.312124133629559,0.275764900979033,0.283746307334135,0.26132633676419,0.30302721244966,0.247117740695328,0.253784148162901,0.236199544693764,0.267187657358111,0.260697656863802,0.24229057283487,0.274995816875816,0.226940384432023,0.25288795035607,0.294279997070027,0.217733196290048,0.192369531367399,0.197937242830072,0.182297401731733,0.211387318123355,0.172385694485989,0.177036082101992,0.164769321841241,0.186386172608097,0.181858843897185,0.169018333317649,0.191833029629894,0.158310268081741,0.176410907717941,0.205285389569809,0.449077881365845,0.396764953887559,0.408248439687228,0.375991040149565,0.435989415431103,0.355547999921985,0.365139491957689,0.339839120663906,0.384424189498561,0.375086508242851,0.348602768579047,0.395658411257712,0.326517228424376,0.363850060705783,0.423404099118465,0.47403498862488,0.418814816331645,0.430936486728467,0.396886410656144,0.460219142737254,0.375307266494635,0.385431797242425,0.358725380123912,0.405788224843841,0.395931610186333,0.367976060044133,0.417646778570896,0.344663135470445,0.384070706985717,0.446934408568301,0.302897051487815,0.267612678452841,0.275358136721555,0.253600950242217,0.294069055488382,0.239812391808772,0.24628172547568,0.229216961913676,0.259288997190329,0.252990855515024,0.235127925744047,0.266866330182677,0.220231522979744,0.245412021265108,0.285580427209595
