"","horizon","META_exp","META_AAPL_exp","META_GOOG_exp","META_MSFT_exp","META_AMZN_exp","AAPL_exp","AAPL_GOOG_exp","AAPL_MSFT_exp","AAPL_AMZN_exp","GOOG_exp","GOOG_MSFT_exp","GOOG_AMZN_exp","MSFT_exp","MSFT_AMZN_exp","AMZN_exp","META_logcosh","META_AAPL_logcosh","META_GOOG_logcosh","META_MSFT_logcosh","META_AMZN_logcosh","AAPL_logcosh","AAPL_GOOG_logcosh","AAPL_MSFT_logcosh","AAPL_AMZN_logcosh","GOOG_logcosh","GOOG_MSFT_logcosh","GOOG_AMZN_logcosh","MSFT_logcosh","MSFT_AMZN_logcosh","AMZN_logcosh","META_kgv","META_AAPL_kgv","META_GOOG_kgv","META_MSFT_kgv","META_AMZN_kgv","AAPL_kgv","AAPL_GOOG_kgv","AAPL_MSFT_kgv","AAPL_AMZN_kgv","GOOG_kgv","GOOG_MSFT_kgv","GOOG_AMZN_kgv","MSFT_kgv","MSFT_AMZN_kgv","AMZN_kgv","META_kcca","META_AAPL_kcca","META_GOOG_kcca","META_MSFT_kcca","META_AMZN_kcca","AAPL_kcca","AAPL_GOOG_kcca","AAPL_MSFT_kcca","AAPL_AMZN_kcca","GOOG_kcca","GOOG_MSFT_kcca","GOOG_AMZN_kcca","MSFT_kcca","MSFT_AMZN_kcca","AMZN_kcca","META_identity","META_AAPL_identity","META_GOOG_identity","META_MSFT_identity","META_AMZN_identity","AAPL_identity","AAPL_GOOG_identity","AAPL_MSFT_identity","AAPL_AMZN_identity","GOOG_identity","GOOG_MSFT_identity","GOOG_AMZN_identity","MSFT_identity","MSFT_AMZN_identity","AMZN_identity"
"1",1,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.278409512183842,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.452608408052103,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.215535268759042,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.844064394610593,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537,0.332198877651537
"2",2,0.276511238580806,0.272732129198178,0.273598118376561,0.271107300860484,0.27560398031714,0.269428490596698,0.270226555561494,0.268079112548665,0.271776292636459,0.271034755455832,0.268838574472451,0.272647510260812,0.26689060151188,0.270120359722102,0.274708472132006,0.449522397855189,0.443378726009678,0.444786558595367,0.440737253879243,0.448047474404517,0.43800802370692,0.439305432370889,0.43581434919706,0.441824829157649,0.44061931731934,0.437049001165682,0.443241161591595,0.433882195068803,0.439132790533216,0.446591652974811,0.214065689260845,0.211140030040133,0.211810449699436,0.209882142657963,0.213363320465471,0.208582464286479,0.209200299307005,0.207537821242645,0.210400053562304,0.209825980448682,0.208125771088795,0.211074520908407,0.206617716021644,0.209118086064342,0.212670048185207,0.838309328460074,0.826852063052026,0.82947751440912,0.82192601100573,0.835558760093821,0.816836299961542,0.81925582297312,0.812745340725706,0.823954218066468,0.821706072424682,0.815047829472954,0.826595520696198,0.809142087945714,0.818933865126982,0.832843814874366,0.329933853172101,0.325424611064732,0.326457911367083,0.323485862112067,0.328851310501178,0.321482701799601,0.322434954772278,0.31987262077339,0.324284104655556,0.323399300766461,0.320778812507723,0.325323643551803,0.318454486639252,0.322308241649652,0.327782788051295
"3",3,0.274625907935947,0.267170520552668,0.268869873705194,0.263996614208078,0.272826719787123,0.260737181627905,0.262284110761311,0.258132022936862,0.265301112235148,0.263855347788888,0.259596658740075,0.26700475952967,0.255848274064491,0.26207800216329,0.271056631898659,0.446457428935383,0.434337257507012,0.437099884110715,0.429177460032194,0.443532501272395,0.42387862315089,0.426393455086582,0.419643434781689,0.431298173404047,0.428947804196805,0.422024483022709,0.434067780964533,0.415930760119798,0.426058385771945,0.440654881700329,0.212606129765007,0.206834419916614,0.208150001900769,0.204377288507449,0.21121325888871,0.201853945566832,0.203051526008336,0.199837119438194,0.205387186950411,0.204267924802927,0.200970991154729,0.206706093314691,0.198069117967542,0.202891963672554,0.209842916454019,0.832593501953602,0.809990728833915,0.815142720512164,0.800368279815262,0.827138836832014,0.790486537751285,0.795176419904563,0.78258838198724,0.804323174634957,0.799939997197843,0.7870287724138,0.809488185021996,0.775664656234195,0.79455155286016,0.821772396043896,0.327684272260473,0.318788486689946,0.320816158825049,0.315001374255556,0.325537476775524,0.311112211717893,0.312958011158771,0.308003730306894,0.316557904336343,0.314832814835526,0.309751337154733,0.318590700251665,0.305278755839289,0.312712081900105,0.323425403788938
"4",4,0.272753432000569,0.261722325353593,0.264223341210085,0.257072428857955,0.27007744570361,0.252326239636723,0.254575108707984,0.248554020609795,0.258980205633155,0.256866114604777,0.25067245413443,0.26147879195119,0.245262811695021,0.254275091624209,0.26745333744545,0.443413357827397,0.4254801644556,0.429546048542823,0.417920860055439,0.439063025511754,0.410205013240847,0.413860984052609,0.404072542998686,0.421022319493262,0.417585456408642,0.407516465649275,0.425084253896709,0.398722047551178,0.413373248365668,0.434797030963055,0.211156521952361,0.202616610664074,0.204552812917262,0.199016817384642,0.209084863476376,0.19534247751976,0.197083476222987,0.192422152580395,0.200493753918705,0.198857095837563,0.194062172475904,0.202428075305037,0.189874209471614,0.196851213099947,0.207053367231011,0.826916647544353,0.793473234347624,0.801055656436087,0.779375971506973,0.818803761113098,0.764986774455829,0.771804753828383,0.75355039879349,0.785159848775319,0.778750480970236,0.759972931904763,0.792734905142366,0.743572319242993,0.770895180961409,0.810848155246967,0.325450029618105,0.312287687503301,0.315271905441826,0.30673942018682,0.322257036542949,0.301076256166138,0.303759611973913,0.29657523564722,0.309015783873391,0.306493245539942,0.299102955457306,0.311997102880978,0.292648157513185,0.303401630891569,0.319125944464381
"5",5,0.270893723127683,0.256385230851054,0.259657108764701,0.25032985319592,0.267355876047259,0.244186620457031,0.247092688099053,0.239331410564296,0.252809897194639,0.250062018394053,0.24205503863859,0.256067190565029,0.235115312075095,0.246704498991927,0.263897943428491,0.440390042044129,0.416803687034014,0.422122756207407,0.406959501685797,0.434638588645709,0.396972490938814,0.401696864897268,0.389079409976628,0.410991291969665,0.406524084510775,0.393507193198412,0.416286651152499,0.382225327979143,0.401065788565065,0.429017051631921,0.20971679796956,0.198484811829422,0.201017789528111,0.19379694236656,0.206977915898591,0.189041058456417,0.191290838161651,0.185282318458981,0.195716908913699,0.19358959368242,0.18739085959462,0.19823859575014,0.182018356987778,0.190990315227368,0.204300900912678,0.821278499509714,0.777292567943918,0.787212040984761,0.758934255993556,0.810552677928622,0.740309590542906,0.749120023080645,0.725589871497844,0.766453096926706,0.75812225133854,0.73384719526398,0.776328353469421,0.712807770085462,0.747943135835916,0.800069135970697,0.323231020664405,0.305919453926235,0.309823466264751,0.298694163220422,0.319009653297318,0.29136404362428,0.294831570295644,0.285570795884726,0.301653357489463,0.298374582111722,0.288820635239437,0.305539967517036,0.280540137358749,0.294368382149908,0.314883640051797
"6",6,0.269046694267901,0.251156971457215,0.255169788646478,0.24376412390656,0.264661731640637,0.23630957167226,0.239830189298082,0.230451005951011,0.246786598857275,0.243438155085267,0.233733865703922,0.250767588432591,0.225387654940969,0.239359307410286,0.260389813082782,0.437387340069995,0.408304142091863,0.414827751093544,0.396285641234521,0.430258736817447,0.384166827502035,0.389890271095915,0.374642597946214,0.401199257745285,0.39575571598835,0.379979520219339,0.407671124816284,0.366411143416922,0.389124761685176,0.423313908522493,0.208286890425899,0.194437269470851,0.197543857405237,0.188713975854817,0.204892200025588,0.182942912550639,0.185668456158066,0.178407408259255,0.191053874178368,0.188461621770528,0.180948887728084,0.194135822245847,0.174487532418052,0.185303915257707,0.201585024537001,0.81567879393884,0.761441860956529,0.773607666948465,0.739028692155848,0.802384740886055,0.716428450988142,0.727102037395754,0.698666821042371,0.748192041028124,0.738040440448324,0.70861958813067,0.76026135406805,0.683316072889163,0.72567444739555,0.789433407711131,0.32102714153184,0.299681082654072,0.304469185460034,0.290859919757329,0.315794993923466,0.281965130688505,0.286165939830278,0.274974676440083,0.294466343900245,0.290470973001403,0.27889179233476,0.299216469923199,0.268933074235124,0.285604082466264,0.310697730761707
"7",7,0.267212258965362,0.246035327784564,0.250760017115079,0.237370602608181,0.261994736119579,0.228686623204048,0.232781148407339,0.221900109219327,0.240906808045777,0.23698975051034,0.225698751342536,0.245577667601767,0.2160624697364,0.232232805960328,0.256928318108167,0.434405111354301,0.399977921586301,0.407658816178052,0.385891738116742,0.425923020743669,0.371774253183014,0.378430694334951,0.360741464587704,0.391640522707833,0.385272589509516,0.366916890673757,0.399233906609443,0.351251254672014,0.377539257831712,0.417686580211574,0.20686673239016,0.190472265413289,0.194129960786797,0.183764326970504,0.202827501905536,0.17704148255299,0.180211326080281,0.171787591965129,0.186501938136879,0.183469484101732,0.174728372775824,0.190117960311693,0.167268288062753,0.179786817823499,0.198905251695155,0.810117268720306,0.745914384786417,0.76023839982528,0.719645217640856,0.794299112121961,0.693317676742324,0.70573119993636,0.67274275179419,0.730366062192793,0.718490574277996,0.68425923533284,0.744526879517291,0.655044564697557,0.704068769899592,0.778939065627491,0.318838289061076,0.29356992550847,0.299207435809529,0.283231155269712,0.312612728663032,0.272869410841608,0.277755007840001,0.26477172656636,0.287450563824758,0.282776721660524,0.269304275185233,0.293023844313621,0.257806241554188,0.27710072435652,0.306567466904902
"8",8,0.265390331353684,0.241018125703789,0.246426453997937,0.231144772576004,0.259354615904841,0.221309578204484,0.225939291514678,0.213666493961917,0.235167105635136,0.230712156963566,0.217939861663466,0.240495158093111,0.207123104594257,0.225318483528873,0.253512838556802,0.43144321630467,0.391821491050422,0.400613772751706,0.375770449524398,0.421630995668501,0.359781442423099,0.367307935159025,0.347356133515722,0.382309528409559,0.375067149331426,0.354303317673504,0.39097130624217,0.336718590919814,0.366298691933256,0.41213405885427,0.205456257387484,0.186588116519036,0.190775062156319,0.178944499017401,0.2007836097426,0.171330422739852,0.174914590876791,0.16541340430378,0.182058453817789,0.17860958257879,0.168721701670615,0.186183252606034,0.160347732607109,0.174433982240187,0.196261102444398,0.804593663529835,0.730703548045493,0.747100176564568,0.700770138927355,0.786294962216049,0.670952417119083,0.684988489851428,0.64778059650291,0.712964794533219,0.69945856220662,0.660736323100264,0.729118047836664,0.627942761430422,0.683106363365888,0.768584230201021,0.316664360796146,0.287583388313276,0.294036618216214,0.275802480391058,0.309462531080624,0.264067103585591,0.269591288278243,0.254947357685888,0.280601937555087,0.275286282435827,0.260046349969276,0.286959382143543,0.247139770269341,0.268850538745285,0.302492108758174
"9",9,0.263580826151947,0.23610323542086,0.242167782282966,0.225082235551317,0.25674110017404,0.214170504242155,0.21929852910952,0.205738387432941,0.229564153962385,0.22460084985177,0.21044770083732,0.235517836906984,0.198553596601494,0.218610022859664,0.250142762722131,0.428501516280501,0.383831388092882,0.393690479757117,0.365914625238881,0.417382221317874,0.348175499523698,0.356512093893135,0.334467465859216,0.373200848834981,0.365132039854415,0.342123363914765,0.38287970979941,0.322787201363579,0.355392794070234,0.40665535000348,0.204055399396254,0.182783173973277,0.187478141927399,0.174251087011727,0.198760313875207,0.165803592089953,0.169773536253573,0.159275731211832,0.177720837314826,0.173878414414032,0.162921523061118,0.18232997815741,0.153713508101399,0.169240517900712,0.193652103222114,0.799107719818113,0.715802893758585,0.734189004332176,0.682390121652056,0.778371470106097,0.649308623073302,0.664855445346969,0.623744663300421,0.695978119133384,0.680930686858052,0.638022062576471,0.714028119476109,0.601962267735055,0.662768075535457,0.758367046898371,0.314505254979659,0.281718929793298,0.288955161218202,0.268568647108839,0.306344078030343,0.255548743924838,0.261667515126818,0.245487522530944,0.273916482584013,0.267994256572206,0.251106686241166,0.281020430924624,0.236914613395599,0.260845987867694,0.298470926431834
"10",10,0.261783658660701,0.231288570572938,0.237982707718308,0.219178708634305,0.254153920833864,0.207261724772515,0.212852950662966,0.198104453714916,0.224094694885727,0.218651424433189,0.203213099474672,0.230643527051256,0.19033864329437,0.21210129478161,0.246817487029322,0.425579873586486,0.376004220928121,0.386886833138038,0.356317302579743,0.41317626185436,0.336943944779719,0.346033561831545,0.32205703289596,0.364309187245641,0.35546010032043,0.330362122784909,0.374955578160198,0.309432208894412,0.344811600091823,0.401249472431802,0.202664092845008,0.179055822584161,0.184238198133832,0.169680775276673,0.196757406754547,0.160455047681015,0.164783586478192,0.153365796803712,0.173486566284333,0.169272569604717,0.157320738314822,0.178556451611825,0.147353767893511,0.164201679807218,0.191077786760993,0.793659180798687,0.701206096622463,0.721500959296971,0.664492181189501,0.770527823003723,0.628363021341528,0.645314147254347,0.600600584667263,0.679396158164544,0.662893594214108,0.616088654585079,0.699250494368234,0.577056690567299,0.643035324374067,0.748285685839449,0.312360870548032,0.275974060495542,0.283961520511166,0.261524545057031,0.303257049622629,0.247305172188535,0.253976635928889,0.236378695058413,0.267390311289165,0.260895388321544,0.242474343064109,0.275204393064792,0.227112511997625,0.253079758382543,0.294503199738992
